項次,工會屬性,工會名稱,理事長,郵遞區號,通訊地址,聯絡電話
245,職業工會,臺北市中藥服務業職業工會,陳志朋,103,臺北市大同區保安街1之25號,(02)25520938
246,職業工會,臺北市影劇歌舞服務職業工會,曹莉,104,臺北市中山區復興北路62號3樓之2,(02)25151580
247,職業工會,臺北市特種飲食業從業人員職業工會,邱榮勳,110,臺北市信義區基隆路1段432號3樓301室,(02)27296635
248,職業工會,臺北市百貨公司售貨業職業工會,葉乾農,103,臺北市大同區長安西路33號8樓,(02)25507006
249,職業工會,臺北市拍賣人員職業工會,蔡式榖,105,臺北市松山區三民路95巷30號,(02)27697852
250,職業工會,臺北市地政士職業工會,"魏金珠 
劉玉霞
 廖碧蓮",106,臺北市大安區信義路4段109號4樓(被退件),(02)27044018
251,職業工會,臺北市車輛保管人員職業工會,沈秋娜,106,臺北市大安區市民大道3段144號4樓(被退件),
252,職業工會,台北市藝文創作人員職業工會,薄懷武,108,臺北市萬華區萬大路254號,(02)23073089
253,職業工會,臺北市勞動力服務人員職業工會,張惠琪,106,臺北市大安區新生南路1段155號5樓,(02)27077727
254,職業工會,臺北市禮儀服務業職業工會,葉謀聰,100,?臺北市中正區忠孝西路一段41號11樓之11,(02)25551707
255,職業工會,臺北市驗光配鏡人員職業工會,張重光,100,臺北市中正區愛國西路9號4樓之7,(02)23144996
256,職業工會,台北市婚禮設計服務人員職業工會,譚伊伶,104,臺北市中山區新生北路3段61號6樓之6,(02)25865078
257,職業工會,臺北市腳底按摩職業工會,郭建伸,104,臺北市中山區民權西路20號5樓之12,(02)25214525
258,職業工會,臺北市蛋類包裝業職業工會,高寶朝,100,臺北市中正區愛國西路9號3樓之15,(02)23618682
259,職業工會,臺北市芳薰香植物精油服務人員職業工會,姚思瑜,100,臺北市中正區忠孝西路1段41號11樓之11,(02)23913589
260,職業工會,臺北市安親班從業人員職業工會,謝美花,103,臺北市大同區赤峰街23巷11號3樓,(02)25582782
261,職業工會,臺北市保險代理職業工會,林恩永,104,台北市中山區民生東路一段 54 號 11 樓,(02)25719188
262,職業工會,臺北市汽車美容人員職業工會,鄭旭倫,104,臺北市中山區新生北路3段64號1樓,(02)25865236
263,職業工會,臺北市倉儲運輸從業人員業職業工會,莊月琴,103,臺北市大同區長安西路33號8樓,(02)25500687
264,職業工會,臺北市電腦用品運送服務人員職業工會,陳嘉添,104,臺北市中山區長春路26號8樓之3,(02)25119857
265,職業工會,臺北市鎖匙裝修職業工會,甘泰君,103,臺北市大同區甘州街22號3樓,(02)25573849
266,職業工會,臺北市框畫設計服務人員職業工會,鄭仁參,100,臺北市中正區杭州南路一段147號2樓,(02)23414719
267,職業工會,臺北市人體彩繪從業人員職業工會,丁存安,114,臺北市內湖區環山路2段53巷5弄18號1樓,(02)87973640
268,職業工會,臺北市指甲彩繪美容職業工會,陳寶華,106,臺北市大安區和平東路3段123號2樓,(02)87328567
269,職業工會,臺北市勞動力援助人員職業工會,沈鳳淳,116,臺北市文山區木柵路4段149巷13號2樓,(02)82301987
270,職業工會,臺北市保險經紀職業工會,許美鈴,103,臺北市大同區甘州街22號3樓,(02)25573849
271,職業工會,臺北市市場服務工作人員職業工會,黃秀玉,110,臺北市信義區松山路294號2樓,(02)27560959
272,職業工會,臺北市書籍雜誌運送人員職業工會,邱紹春,106,臺北市大安區溫州街22巷22號1樓(被退件，搬遷),(02)23699089
273,職業工會,臺北市窗簾設計製作服務人員職業工會,林千裕,104,臺北市中山區新生北路3段64號1樓,(02)25865136
274,職業工會,臺北市瑜珈教學人員職業工會,鄭賀文,104,臺北市中山區新生北路3段64號1樓,(02)25865236
275,職業工會,臺北市就業服務人員職業工會,廖沈玉梅,104,臺北市中山區民權西路20號5樓之12,(02)25214525
276,職業工會,臺北市牙體技術人員職業工會,吳乙男,111,臺北市中山區吉林路299巷13號1樓,(02)88614812
277,職業工會,臺北市廣告代理職業工會,黃如伶,251,新北市淡水區北新路197之1號23樓,(02)26292961
278,職業工會,臺北市大客車駕駛員職業工會 ,林帝傑,112,臺北市北投區大業路508號4樓,(02)28923148
279,職業工會,臺北市室內設計人員職業工會,張頌斌,103,臺北市大同區西寧北路83號6樓之2,(02)25561776
280,職業工會,臺北市道士法師服務職業工會,張倖瑜,103,臺北市大同區西寧北路83號6樓之2,(02)25561776
281,職業工會,台北市觀光領隊人員職業工會,馬潮,104,臺北市中山區林森北路289號7樓702室,(02)25415522
282,職業工會,臺北市工具車輛操作員職業工會,黃義傑,220,新北市板橋區文化路1段221巷2號,(02)89651858
283,職業工會,臺北市市場暨民意調查從業人員職業工會,吳奇璁,100,臺北市中正區忠孝西路1段41號11樓之11,(02)23751655
284,職業工會,臺北市咖啡加工職業工會,鄭旭芳,104,臺北市中山區新生北路3段64號1樓,(02)25865237
285,職業工會,台北市立體彩色印花從業人員職業工會,張雅茹,100,臺北市中正區杭州南路一段147號2樓,(02)25865237
286,職業工會,臺北市自備車輛計程車駕駛員職業工會,葉承源,108,臺北市萬華區西園路2段281巷28號1樓,(02)23031199
287,職業工會,臺北市廣告傳單發送服務人員職業工會,邱耀德,235,新北市中和區景平路140號3樓,(02)22305636
288,職業工會,臺北市電信人員職業工會,林家卉,100,臺北市中正區忠孝西路一段7號9樓之3,(02)23886960
289,職業工會,臺北市機車貨物運送職業工會,朱慶智,106,臺北市大安區杭州南路2段71號2樓,(02)23583192
290,職業工會,臺北市飲料運送服務職業工會,黃大宗,220,新北市板橋區文化路1段221巷2號,(02)89651858
291,職業工會,臺北市衛浴器材服務職業工會,郭泰緯,103,臺北市大同區長安西路33號8樓,(02)25500511
292,職業工會,臺北市汽車仲介業從業人員職業工會,"許恆銓
黃溪水
陳信佑",104,臺北市龍江路郵局121-53號信箱,(02)89815688
293,職業工會,臺北市骨節整復職業工會,邱九桁,104,台北市中山區吉林路286號5樓,(02)25235695
294,職業工會,臺北市歌舞藝能服務人員職業工會,余天,241,新北市三重區重陽路4段7號2樓,(02)29810067
295,職業工會,臺北市身心障礙者臨托居家服務業職業工會,陳繼東,104,臺北市中山區民生東路1段25號6樓之37,(02)25719957
296,職業工會,臺北市米食製品從業人員職業工會,蘇厚存,103,臺北市大同區長安西路33號8樓,(02)22575047
297,職業工會,臺北市蜜餞運送人員職業工會,許陳親,111,臺北市士林區重慶北路4段230號10樓,(02)28125822
298,職業工會,臺北市遊覽車駕駛員職業工會,黃瑞昌,112,臺北市北投區光明路217號12樓,(02)28911258
299,職業工會,臺北市醫務雜務職業工會,吳立人,100,臺北市中正區濟南路2段62巷11號1樓,(02)23222358
300,職業工會,臺北市紀錄片從業人員職業工會 ,廖建華,103,臺北市大同區興城街10巷16號2樓,(02)25571191
301,職業工會,臺北市銀行行員職業工會,蔡元鎮,100,臺北市中正區重慶南路1段2號2樓,
302,職業工會,臺北市不動產經紀人員職業工會,張瑋庭,108,臺北市萬華區中華路1段182號1樓,(02)23213799
303,職業工會,臺北市挽臉從業人員職業工會,甘沛琳,242,新北市新莊區新豐街20巷5號1樓,(02)22023083
304,職業工會,臺北市汽車電機冷氣保修業職業工會,劉君英,106,臺北市大安區和平東路3段406巷3號5樓,(02)27332211
305,職業工會,臺北市套房租賃仲介從業人員職業工會,黃美華,116,臺北市文山區景華街21號1樓,(02)29349828
306,職業工會,臺北市體育運動教練職業工會,吳永強,106,臺北市大安區和平東路3段11號B1,(02)27061215
307,職業工會,臺北市芳療整體保養職業工會,郭俶蓁,100,臺北市中正區愛國西路9號4樓之12,(02)23114128
308,職業工會,臺北市不鏽鋼門窗製作職業工會,徐暐翔,111,臺北市士林區葫蘆街110號,(02)28126837
309,職業工會,臺北市客車隨車服務人員職業工會,林芳薇,112,臺北市北投區大業路508號4樓,(02)28923148
310,職業工會,臺北市布花完稿設計職業工會,陳驛青,103,臺北市大同區重慶北路2段48號6樓,(02)25583580
311,職業工會,臺北市代客停車職業工會,陳余?,112,臺北市北投區光明路223號5樓(被退件),(02)28911250
312,職業工會,臺北市動物醫療從業人員職業工會,李亞霖,100,臺北市中正區濟南路2段62巷11號1樓,(02)23222358
313,職業工會,臺北市美容美髮用品從業人員職業工會,何思瑩,104,臺北市中山區長春路26號10樓之2,(02)25317981
314,職業工會,臺北市幼教從業人員職業工會,任台英,220,新北市板橋區中山路2段419號3樓,(02)89521816
315,職業工會,臺北市廣告服務業職業工會,陳彩柳,112,臺北市北投區明德路65號2樓,(02)28205949
316,職業工會,臺北市徵信服務職業工會,張重光,100,臺北市中正區愛國西路9號4樓之6,(02)23144996
317,職業工會,臺北市升學補習教學人員職業工會,林水和,103,臺北市大同區延平北路1段22號3樓之3,(02)25559880
318,職業工會,臺北市家庭教學服務人員職業工會,林亞駿,103,臺北市大同區延平北路1段22號3樓之3,(02)25559880
319,職業工會,臺北市古董藝品鑑識人員職業工會,疏淑媛,106,臺北市大安區復興南路2段151巷30弄15號17樓,
320,職業工會,臺北市停車收費員職業工會,陳勇安,114,台北市文山區景文街42號三樓303室,(02)86635281
321,職業工會,臺北市影視武術指導技藝從業人員職業工會,陳德維,114,台北市內湖區內湖路一段360巷8號8樓,(02)87978836
322,職業工會,臺北市藝術創作者職業工會,杜珮詩,103,臺北市大同區歸綏街97巷4號B1F,(02)25529159
323,職業工會,臺北市演藝經紀人職業工會,陳桓浩,104,臺北市中山區復興北路62號3樓之2,(02)25151580
324,職業工會,臺北市教師職業工會,葉青?,103,臺北市大同區大龍街187巷1號,(02)25960780
325,職業工會,臺北市勞工安全衛生管理職業工會,林政良,100,臺北市中正區愛國西路9號4樓之6,(02)23144996
326,職業工會,臺北市社會工作人員職業工會,陳欣涵,108,臺北市萬華區萬大路137巷14號1樓,
327,職業工會,臺北市下水道工程從業人員職業工會,邱建誠,105,臺北市松山區八德路4段245巷32弄42號6樓,(02)27486681
328,職業工會,台北市大專教師職業工會,丁一倪,106,臺北市大安區金華街78號7樓,(02)23910435
329,職業工會,臺北市紋身職業工會,李宛蓁,108,臺北市萬華區漢中街50巷6之3號,(02)23110378
330,職業工會,臺北市專業職能教學人員職業工會,蔣佩曄,241,新北市三重區重陽路一段113巷1弄46號,(02)89883150
331,職業工會,臺北市多層次傳銷人員職業工會,袁千富,104,臺北市中山區長安東路一段75號6樓,(02)25319393
332,職業工會,臺北市養生舒壓按摩職業工會,鄭文煌,104,臺北市中山區農安街32號7樓之1,(02)25975091
333,職業工會,臺北市庭園造景從業人員職業工會,沈嘉儀 ,103,臺北市大同區南京西路165號2樓,(02)25583911
334,職業工會,台北市動態藝術嘻哈文化業職業工會,黃心昱 ,104,臺北市中山區興安街112號2樓之5,(02)23888323
335,職業工會,臺北市新聞從業人員職業工會,鄭超文,106,臺北市大安區信義路2段88號9樓,(02)23410044
336,職業工會,臺北市企劃經理人職業工會,梁嘉琪,106,臺北市大安區羅斯福路2段91號16樓之2,(02)83691100
337,職業工會,臺北市微型影像製作人職業工會,吳宗建,106,臺北市大安區復興南路1段287號6樓之2,(02)27096960
338,職業工會,台北市商品包膜人員職業工會,林甬旂,111,臺北市士林區中山北路六段200號2樓,(02)88663185
339,職業工會,臺北市電信工程業職業工會,蔡勝和,100,臺北市中正區仁愛路1段42號7樓715室,(02)23975666
340,職業工會,臺北市洗鞋洗包從業人員職業工會,張高維,104,臺北市中山區中山北路3段29號5樓之2,(02)25993869
341,職業工會,台北市企業經營管理顧問從業人員職業工會,李王明暖,103,臺北市大同區民族西路169巷19號1樓,(02)25974399
342,職業工會,臺北市新娘秘書從業人員職業工會,陳韻竹,116,台北市文山區景文街42號三樓303室,(02)86635281
343,職業工會,臺北市特殊娛樂業從業人員職業工會,林瑞圖,104,臺北市中山區錦州街36號6樓,(02)25373355
344,職業工會,台北市音樂創作職業工會,陳玉貞,241,新北市三重區永福街289號5樓之1,(02)22861598
345,職業工會,臺北市藝品業職業工會,謝益芬,104,臺北市中山區錦州街5號3樓,(02)25651112
346,職業工會,台北市證券期貨職業工會,竇偉誠,235,"新北市中和區中原街152號12樓  
(舊地址：新北市中和區中原東街88號6樓)",(02)29597391
347,職業工會,臺北市醫師職業工會,陳宥任,106,臺北市大安區泰順街26巷39號2樓,
348,職業工會,臺北市產後照顧服務人員職業工會,王伯祥,106,臺北市大安區忠孝東路四段221號12樓,(02)87718228
349,職業工會,臺北市社區大學教學講師從業人員職業工會,張芳德,114,臺北市內湖區內湖路二段15號2樓,(02)87511587
350,職業工會,臺北市當舖從業人員職業工會,李宥德,105,臺北市松山區南京東路5段326號2樓,
351,職業工會,臺北市網路自媒體從業人員職業工會,陳界榕,100,臺北市中正區市民大道三段8號5樓81室,(02)23414588
352,職業工會,臺北市電競職業工會,陳奕,106,臺北市大安區新生南路二段30巷7號,(02)29266166
353,職業工會,臺北市數位遊戲職業工會,王緯菖,106,臺北市大安區和平東路1段66號9樓,
354,職業工會,臺北市光電檢測器材服務業職業工會,林毓峰,106,臺北市大同區重慶北路1段87號2樓,(02)25507773
355,職業工會,臺北市網路平台外送員職業工會,鄭力嘉,114,臺北市內湖區舊宗路二段181巷10號2樓,(02)26599999
356,職業工會,臺北市動漫企劃人員職業工會,劉佳豪,100,臺北市中正區和平西路一段64號,
357,職業工會,臺北市心理師職業工會,謝昀融,108,臺北市萬華區貴陽街二段153號,
358,職業工會,臺北市電傳勞務從業人員職業工會,邱秉正,104,臺北市中山區集英里23鄰撫順街39號10樓之1,
359,職業工會,臺北市公關業職業工會,陳大業,104,臺北市中山區林森北路105號5樓之2,(02)26932599
360,職業工會,臺北市娛樂公關經紀職業工會,胡筠筠,104,臺北市中山區林森北路101號2樓之1室,
361,職業工會,臺北市長期照顧服務人員職業工會,潘敏媛,108,臺北市萬華區中華路1段182號,(02)23703399
362,職業工會,臺北市健身教練職業工會,呂宇晟,104,臺北市中山區中山北路二段115巷39號1樓(須暫時改寄到41號，待開會變更會址),
363,職業工會,臺北市女子足球員職業工會,王湘惠,105,臺北市松山區南京東路四段171號12樓之2,
364,職業工會,臺北市數位科技動畫職業工會,曾品喬,235,新北市中和區板南路653號5樓,
365,職業工會,臺北市現場演出幕後技術工作者職業工會,陳雅婷,234,新北市永和區民生路25巷44號5樓2室,
366,職業工會,臺北市休閒服務人員職業工會,廖年豐,104,臺北市中山區撫順街16號8樓之1,
367,職業工會,臺北市廢棄物再利用處理職業工會,陳思宗,112,臺北市北投區公館路334巷10號,
368,職業工會,臺北市律師職業工會,楊佳陵,106,台北市大安區復興南路一段243號12樓,
369,職業工會,臺北市經絡調理服務人員職業工會,陳靜瑢,104,臺北市中山區撫順街16號8樓之1,
370,職業工會,臺北市醫院看護工作人員職業工會,陳昭志,112,臺北市北投區明德路267巷2號1樓,
371,職業工會,臺北市體適能指導工作人員職業工會,楊貫中,112,臺北市北投區中央北路１段12號4樓,(02)28913812
372,職業工會,臺北市運動賽事分析從業人員職業工會,蔡育庭,104,臺北市中山區五常街3號1樓,
373,職業工會,臺北市美體鬆筋調理員職業工會,張文瑜,106,臺北市大安區和平東路二段55號2樓,(02)23587182
374,職業工會,臺北市身心靈諮詢規劃從業人員職業工會,楊欽堯,106,臺北市大安區敦化南路二段180號21樓,(02)27200162
375,職業工會,臺北市職業籃球員職業工會,楊敬敏,105,臺北市松山區南京東路4段171號12樓之2,(02)87707278
376,職業工會,臺北市網路節目製作人員職業工會,巫俊毅,104,臺北市錦州街36號6樓,(02)25373355
377,職業工會,臺北市棋藝智力運動業職業工會,張恩齊,116,臺北市文山區景華街21號1樓,
378,職業工會,臺北市板車操作職業工會,唐雲銘,108,臺北市萬華區萬大路486巷37弄6號4樓,
379,職業工會,臺北市照護輔佐服務人員職業工會,張奎懷,103,台北市大同區赤峰街23巷11號2樓,(02)25581950
380,企業工會,臺北市臺灣菸酒股份有限公司臺北啤酒工場工會,吳國良,104,臺北市中山區八德路2段85號,(02)27719131
381,企業工會,士林紙業股份有限公司企業工會,許立明,327,桃園市新屋區笨港里文化路2段1631號,(03)4768077
382,企業工會,臺北市士林電機廠股份有限公司產業工會,羅美蓉,111,臺北市中山北路6段90號13樓,(03)5995111
383,企業工會,大同股份有限公司關係企業工會,王祥兆,104,臺北市中山區中山北路3段22號,(02)25941586
384,企業工會,臺北自來水事業處企業工會,莊瑛,106,臺北市大安區長興街131號,(02)87335618
385,企業工會,台北市國產實業建設股份有限公司台北廠工會,鄭世忠,115,臺北市南港區南港路3段33號,(02)26510998
386,企業工會,南僑投資控股股份有限公司企業工會 ,汪時渭,103,臺北市大同區延平北路4段100號,(02)66193000
387,企業工會,臺北市光華巴士股份有限公司企業工會, 陳星光,111,臺北市士林區中正路499號,(02)28826780
388,企業工會,台北市美商達美航空股份有限公司臺灣分公司企業工會,江志昌,100,"臺北市中正區開封街1段48號6樓之14
(1091108無法投遞被退件)",
389,企業工會,臺北市國興機電股份有限公司產業工會,陳榮仁,333,桃園市龜山區頂湖路33號,(03)3280199
390,企業工會,台北市中華電視股份有限公司企業工會,馬履芸,106,臺北市大安區光復南路116巷7號B3,(02)87723250
391,企業工會,臺北市中國廣播股份有限公司企業工會,蘇國生,104,臺北市中山區松江路375號10樓,(02)25005558
392,企業工會,香港商國泰航空有限公司台灣分公司企業工會,廖修暖,251,新北市淡水區後洲路1段58號23樓,
393,企業工會,臺北市中國電視事業股份有限公司企業工會,林棟梁,115,臺北市南港區重陽路118號B1,(02)27896670
394,企業工會,臺北市經濟日報股份有限公司產業工會,"王清啟
姚逸瀚
章顯恆",110,"臺北市信義區忠孝東路4段557號8樓
(1091113無法投遞被退件)",(02)27681233
395,企業工會,臺灣電視事業股份有限公司企業工會,莊勝鈞,105,臺北市松山區八德路3段10號,(02)27758888
396,企業工會,臺北市日立永大電梯公司企業工會,余杰翰,106,5臺北市大安區敦化南路2段63巷54弄6號1樓,(02)27093355
397,企業工會,臺北市臺灣菸酒股份有限公司酒類暨生技研究所工會,余新健,116,臺北市文山區羅斯福路6段142巷13號,(02)29301792
398,企業工會,臺北市財團法人臺灣敦睦聯誼會所屬作業組織圓山大飯店工會,張舉成,104,臺北市中山區中山北路4段1號,(02)28861818
399,企業工會,臺北市大南汽車股份有限公司企業工會,陳志忠,112,臺北市北投區中央北路4段601巷11號,(02)28586123
400,企業工會,臺北市中央電影事業股份有限公司製片廠產業工會,"廖本榕
邱文聰
邵立群",111,臺北市士林區至善路2段34號,(02)28829010
401,企業工會,臺北市日商日本航空股份有限公司台灣分公司企業工會,楊尚融,105,臺北市松山區民生東路3段138號11樓,(02)21755867
402,企業工會,台北市欣欣客運股份有限公司企業工會,伍開勳,100,臺北市中正區汀州路3段56號B1,(02)23684067
403,企業工會,臺北市德信海空運承攬股份有限公司產業工會,0,104,臺北市中山區南京東路3段219號4樓,(02)27130421
404,企業工會,臺北市指南汽車客運股份有限公司產業工會,謝章耀,111,臺北市士林區中正路499號2樓,
405,企業工會,崇友實業股份有限公司企業工會,孫志維,247,新北市蘆洲區中山二路176號1樓,(02)22835522
406,企業工會,臺北市台灣快桅股份有限公司企業工會,高瑞憶,115,臺北市南港區市民大道七段8號13樓,(02)27750550
407,企業工會,臺北市中興大業巴士股份有限公司企業工會,陳志傑,111,臺北市士林區中正路499號,(02)28826780
408,企業工會,臺北市國華產物保險股份有限公司產業工會,蔣晉暘,104,臺北市中山區長安東路2段166號,
409,企業工會,新加坡商新加坡航空股份有限公司台灣分公司企業工會,鄒忠邦,104,臺北市中山區松江路148號2樓,(02)25228639
410,企業工會,臺北市榮電股份有限公司產業工會,趙旭東,116,臺北市羅斯福路6段107號1樓,(02)89195168
411,企業工會,臺北市中國信託商業銀行股份有限公司產業工會,簡文哲,110,"臺北市信義區松壽路3號16樓
(1091111無法投遞被退件)",(02)27222002
412,企業工會,臺北市中國信託商業銀行股份有限公司城中分公司產業工會,劉永光,100,臺北市中正區重慶南路1段83號,(02)23818740
413,企業工會,臺北市陸海股份有限公司產業工會,鄧慶豪,206,基隆市七堵區大德路3之1號,(02)24515208
414,企業工會,臺灣證券交易所股份有限公司企業工會,吳家傳,110,臺北市信義區信義路5段7號9樓,(02)81013830
415,企業工會,臺灣菸酒股份有限公司工會,侯佳雄,100,臺北市中正區南昌路1段4號1樓,(02)23214567
416,企業工會,臺灣土地銀行企業工會,林佳慶,100,臺北市中正區懷寧街53號9樓,(02)23483692
417,企業工會,臺北市臺灣美國運通國際股份有限公司產業工會,"許惠娜
朱力行
宿玉潔",105,臺北市松山區復興北路363號12樓,(02)27178737
418,企業工會,臺北市聯合晚報股份有限公司產業工會,"高?垚
陳永富
彭志偉 ",110,"臺北市信義區基隆路1段180號7樓
(1091111無法投遞被退件)",(02)27634300
419,企業工會,臺北農產運銷股份有限公司企業工會,盧建中,108,臺北市萬華區萬大路533號2樓,(02)25162519
420,企業工會,潤泰創新國際股份有限公司企業工會,蔡順發,104,臺北市中山區八德路2段308號11樓,(02)81619888
421,企業工會,臺北市財團法人國語日報社工會,王福鈞,100,臺北市中正區福州街10號4樓,(02)23921133
422,企業工會,臺灣肥料股份有限公司企業工會,黃韋晨,104,臺北市中山區南京東路2段88號6樓,(02)25422231
423,企業工會,臺北大眾捷運股份有限公司企業工會,簡宗宏,104,臺北市中山區中山北路2段48巷7號4樓,(02)25363001
424,企業工會,財團法人中央通訊社工會,馮昭,104,臺北市中山區松江路209號,(02)25051180
425,企業工會,台灣三菱電梯股份有限公司企業工會,阮立榮,106,臺北市大安區復興南路2段363號,(02)27335353
426,企業工會,臺北市臺灣杜邦股份有限公司產業工會,徐啟洲,105,臺北市松山區敦化北路167號13樓,(02)27191999
427,企業工會,第一商業銀行股份有限公司工會,陳正雄 ,100,臺北市中正區重慶南路1段30號21樓,(02)23481951
428,企業工會,台北富邦商業銀行股份有限公司企業工會,曹德俊,112,臺北市北投區中央北路1段2號4樓,(02)28926597
429,企業工會,臺北市益華股份有限公司產業工會,曾敬業,105,臺北市松山區復興北路57號14樓,(02)27698250
430,企業工會,大台北區瓦斯股份有限公司企業工會,許呈?,105,臺北市松山區光復北路11巷33號1樓,(02)27471806
431,企業工會,臺北市陽明山瓦斯股份有限公司產業工會,0,111,臺北市士林區葫蘆街61巷9號,(02)28948686
432,企業工會,合作金庫商業銀行股份有限公司企業工會,陳金渠,100,臺北市中正區南陽街62號,(02)25568252
433,企業工會,臺灣銀行股份有限公司企業工會,陳俊雄,100,臺北市中正區寶慶路35號4樓,(02)23493938
434,企業工會,臺灣中小企業銀行股份有限公司企業工會,游宏生,106,臺北市大安區仁愛路4段357號,(02)27732788
435,企業工會,兆豐國際商業銀行股份有限公司工會,郭孟仁,104,臺北市中山區南京東路2段53號8樓,(02)25625559
436,企業工會,臺北市美國聯合航空股份有限公司臺灣分公司產業工會 ,"張錦昌
楊英儀
莊育鉅",114,臺北市內湖區大湖山莊街202巷15號3樓,(02)27942986
437,企業工會,中國石油化學工業開發股份有限公司企業工會,楊明璋,105,臺北市松山區東興路12號11樓,(02)87878322
438,企業工會,臺北市停車管理工程處企業工會,朱世梓,105,臺北市松山區八德路4段181巷22號1樓,(02)27471250
439,企業工會,臺北市法國興業銀行股份有限公司產業工會,孫一德,105,"臺北市松山區民生東路3段109號7樓
(1091108無法投遞被退件)",(02)21750000
440,企業工會,臺北市中國輸出入銀行企業工會,王玉晴,100,臺北市中正區南海路3號8樓,(02)23210511
441,企業工會,中央存款保險股份有限公司企業工會,齊偉,100,臺北市中正區南海路3號11樓,(02)23971155
442,企業工會,彰化商業銀行股份有限公司企業工會,黃國棟,100,臺北市中正區衡陽路68號4樓,(02)23148155
443,企業工會,臺北市南山人壽保險股份有限公司企業工會,蔡坤穎,104,臺北市中山區民權西路20號3樓之2,(02)25603255
444,企業工會,臺北市中國人壽保險股份有限公司產業工會,洪文良,105,臺北市松山區敦化北路122號5樓,(02)27177388
445,企業工會,臺北市財團法人中央廣播電臺企業工會,岳昭莒,104,臺北市中山區北安路55號,(02)28856168
446,企業工會,民間全民電視股份有限公司企業工會,張雅晴,244,新北市林口區信義路99號9樓,(02)25702570
447,企業工會,台北市政府環境保護局企業工會,蔣萬金,108,臺北市萬華區東園街19號9樓,(02)23055729
448,企業工會,臺北市瑞興商業銀行股份有限公司企業工會,胡偉民,103,臺北市大同區延平北路2段133號,(02)25575151
449,企業工會,財團法人公共電視文化事業基金會企業工會,張世傑,114,臺北市內湖區康寧路3段75巷50號9樓,(02)26301192
450,企業工會,臺北市國家音樂廳交響樂團產業工會,"朱偉誼
鍾仁甫
宋光清",100,臺北市中正區中山南路21之1號,(02)33939888
451,企業工會,臺北市政府工務局水利工程處企業工會,陳宜賢,114,臺北市內湖區潭美街183號,
452,企業工會,臺北市國立實驗國樂團產業工會,"王琇媜
陳思予
劉    治",100,臺北市中正區中山南路21之1號(查無退件110.01.08),(02)23435252
453,企業工會,新光人壽保險股份有限公司企業工會,詹素霞,103,臺北市大同區西寧北路78號9樓905室,(02)25509149
454,企業工會,中央健康保險署工會,葉長楨,801,高雄市前金區中正四路259號8樓資訊室,
455,企業工會,臺北市臺北漁產運銷股份有限公司企業工會,李玉程,108,臺北市萬華區萬大路531號3樓,(02)23037635
456,企業工會,勞動部勞工保險局工會,陳銅山,100,臺北市中正區羅斯福路1段4號10樓,(02)23219381
457,企業工會,文化部工會,謝嘉茹,103,臺北市大同區昌吉街55號2樓215-216室,(02)25972631
458,企業工會,中國國民黨企業工會,伍康龍,104,臺北市中山區八德路2段232號B1,(02)21731256
459,企業工會,臺北市寒舍餐旅管理顧問股份有限公司產業工會,"林李祥
朱吉安",100,臺北市中正區忠孝東路一段12號B3,
460,企業工會,國立政治大學工會,莊馥維,116,臺北市文山區指南路2段64號,(02)29393091
461,企業工會,泰商泰國航空國際有限公司企業工會,張文玉,104,臺北市中山區松江路223號7樓,(02)25151888
462,企業工會,富邦人壽保險股份有限公司工會,闕念祖,105,臺北市松山區八德路3段20號8樓D-1區,(02)25792624
463,企業工會,臺北市政府工務局衛生下水道工程處企業工會,周盛發,103,"臺北市大同區酒泉街235號(後棟四樓)
寄:台北市內湖區舊宗路二段2號",(02)87911254
464,企業工會,台北市台灣武田藥品工業股份有限公司企業工會,陳炳華 ,110,臺北市信義區松高路1號17樓,(02)87099050
465,企業工會,永豐商業銀行股份有限公司企業工會,張麗澤,104,臺北市中山區建國北路2段3巷2號5樓,(02)25189388
466,企業工會,華南金融控股股份有限公司與子公司企業工會,李輝明,100,臺北市中正區重慶南路1段38號2樓,(02)23122201
467,企業工會,臺北市國際合作發展基金會產業工會,高鷗,111,臺北市士林區天母西路62巷9號12樓,(02)28732323
468,企業工會,兆豐金融控股股份有限公司與子公司工會,吳世哲,100,臺北市中正區重慶南路1段2號2樓,(02)23710728
469,企業工會,臺北市國立戲曲專科學校附設國劇團產業工會,趙延強,114,臺北市內湖區內湖路2段177號,
470,企業工會,臺北市玉山商業銀行股份有限公司企業工會,黃衛聖,105,臺北市松山區民生東路3段115、117號,(02)21751313
471,企業工會,華信航空企業工會,沈耿堯,105,臺北郵局第45-62號信箱,(02)27171188
472,企業工會,台灣糖業股份有限公司台北市企業工會,黃榮彬,108,臺北市萬華區艋舺大道297號2樓,(02)23061112
473,企業工會,大都會汽車客運股份有限公司企業工會,李治緯,114,臺北市內湖區民權東路6段11巷6號2樓,(02)27968446
474,企業工會,第一金融控股股份有限公司與子公司企業工會,胡淋森,100,臺北市中正區重慶南路1段30號21樓,(02)23484695
475,企業工會,明台產物保險股份有限公司企業工會,陳世傑,106,北市中正區仁愛路2段22號3樓,(02)27725678
476,企業工會,臺北市東和鋼鐵企業股份有限公司企業工會,賴偉廉,104,臺北市中山區長安東路1段9號6樓,(02)25511100
477,企業工會,臺北市中央電影事業股份有限公司產業工會,"李祖怡
高瑞青
阮崧卿",108,臺北市萬華區漢中街116號6樓,(02)27781058
478,企業工會,聯捷運輸股份有限公司企業工會,張裕源,815,高雄市大社區旗楠路62號,(07)8714316
