序號,行政區域代碼,院所名稱,地址,電話,語音預約
330,63000110,榮清耳鼻喉科診所,臺北市士林區文林路483號1樓,02-2831-6878,
331,63000110,橙光耳鼻喉科診所,臺北市士林區大南路286號,02-2888-3222,
332,63000110,耀明診所,臺北市士林區中正路322號,02-2832-0657,
333,63000110,永捷診所,臺北市士林區社子街67號1樓,02-2811-1472,
334,63000110,政吉診所,臺北市士林區士東路67號,02-2874-8318,
335,63000110,慈田耳鼻喉科診所,臺北市士林區延平北路五段185號1樓,02-2812-3595,
336,63000110,林博通醫師診所,臺北市士林區通河街60號,02-2885-1148,
337,63000110,德泰耳鼻喉科診所,臺北市士林區通河街42-1號,02-2885-1570,
338,63000110,心福內科診所,臺北市士林區中山北路六段167號,02-2833-1115,
339,63000110,杏暉診所,臺北市士林區社子街15號1樓,02-2811-7094,
340,63000110,陳彥銘耳鼻喉科診所,臺北市士林區士東路12之1號,02-2838-1770,
341,63000110,鄭醫師診所,臺北市士林區延平北路五段120號1樓2樓,02-2812-7412,
342,63000110,德生診所,臺北市士林區文林路552號,02-2981-2988,
343,63000110,宜達診所,臺北市士林區前港街86號1樓,02-2883-3678,
344,63000110,平安診所,臺北市士林區社子街36-1號,02-2816-7263,
345,63000120,臺北榮民總醫院,臺北市北投區石牌路二段201號,02-2871-2121,
346,63000120,振興醫療財團法人振興醫院,臺北市北投區振興路45號,02-2826-4400,
347,63000120,臺北市立聯合醫院附設北投門診部,臺北市北投區公舘路198號4樓,02-2891-2670,
348,63000120,台北欣安耳鼻喉科診所,臺北市北投區石牌路一段152號,02-2821-0501,
349,63000120,何叔芳小兒科診所,臺北市北投區石牌路二段90巷12號1樓,02-2820-6886,
350,63000120,宏恩兒科診所,臺北市北投區致遠一路二段99號1樓,02-2827-1110,
351,63000120,李伯匯小兒科診所,臺北市北投區石牌路一段93號1樓,02-2822-1212,
352,63000120,陳獻明小兒科診所,臺北市北投區中央南路一段69號1樓,02-2892-8950,
353,63000120,黃正宏診所,臺北市北投區西安街一段359號,02-2821-7076,
354,63000120,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,02-2858-7000,
355,63000120,昱德聯合診所,臺北市北投區光明路102號1樓,02-2897-5050,
356,63000120,清田婦產科家醫科診所,臺北市北投區中和街268號,02-2893-1323,
357,63000120,陳柏宏親子診所,臺北市北投區明德路124號,02-2822-5257,
358,63000120,和勤診所,臺北市北投區中央北路四段543號1樓,02-2894-2339,
359,63000120,陳信方小兒科診所,臺北市北投區明德路106號,02-2820-1068,
360,63000120,黃浩魁小兒科診所,臺北市北投區中央北路一段168號,02-2898-3256,
361,63000120,蔡秉勳小兒科診所,臺北市北投區中和街281號,02-2896-6525,
362,63000120,慈恩耳鼻喉科診所,臺北市北投區中央南路一段13號,02-2897-8787,
363,63000120,橙品耳鼻喉科診所,臺北市北投區自強街70號1樓,02-2820-0022,
364,63000120,台新診所,臺北市北投區光明路145號,02-2893-6508,
365,63000120,張晉豪診所,臺北市北投區中央南路一段155號,02-2891-3820,
366,63000120,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號,02-2895-9808,
367,63000120,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,02-2897-0011,
368,63000120,大順耳鼻喉科診所,臺北市北投區中和街236號,02-2896-4588,
369,63000120,王永良診所,臺北市北投區自強街94號,02-2822-7287,
370,63000120,永安家庭醫學科診所,臺北市北投區中央北路一段172號,02-2894-0888,
371,63000120,林文正耳鼻喉科診所,臺北市北投區明德路92號1樓,02-2826-1083,
372,63000120,長宏診所,臺北市北投區中央北路二段121號,02-2896-7372,
373,63000120,洪耳鼻喉科診所,臺北市北投區中央南路一段43號,02-2892-8769,
374,63000120,紀耳鼻喉科診所,臺北市北投區石牌路二段57號,02-2821-4485,
375,63000120,祐民聯合診所,臺北市北投區中央南路一段207號,02-2895-1301,
376,63000120,常哲診所,臺北市北投區明德路157之4號,02-2828-5515,
377,63000120,康田診所,臺北市北投區自強街76號,02-2821-0988,
378,63000120,張參雄診所,臺北市北投區光明路166-1號,02-2892-6555,
379,63000120,陳珀勳診所,臺北市北投區明德路85號1樓,02-2820-6263,
380,63000120,萬泰診所,臺北市北投區中央北路二段52號,02-2893-0727,
381,63000120,信達雅診所,臺北市北投區承德路六段128號3樓,02-2821-0798,
382,63000120,文遠診所,臺北市北投區石牌路二段346號1樓及2樓,02-2873-9991,
383,63000120,石牌鄭身心醫學診所,臺北市北投區石牌路一段69號,02-2822-7660,
384,63000120,吉安診所,臺北市北投區西安街一段281巷18號,02-2823-1832,
385,63000120,翰譽耳鼻喉科診所,臺北市北投區中央南路一段189號1樓,02-2895-9986,
