序號,名稱,電話,地址,代碼編號,行政區,立案字號,成立日期,類別
156,財團法人臺北市融益慈善基金會,927109325,臺北市大同區南京西路 62號7 樓,N20168,大同區,北市社會字第北市社團字第1123176586號號,1121219,綜合慈善
157,財團法人臺北市留沐慈善基金會,2775-1812,臺北市大安區仁愛路4段403號12樓,N20169,大安區,北市社會字第北市社團字第1133046912號號,1130327,綜合慈善
158,財團法人臺北市常青慈善基金會,,臺北市大同區南京西路62號7樓,N20170,大同區,北市社會字第北市社團字第1133218642號號,1131202,綜合慈善
159,財團法人友好公益基金會,(02)2766-6241,臺北市松山區光復北路85巷7號,N30001,松山區,北市社會字第北市社四字第2730號函號,0600216,身障類
160,財團法人台北市樹仁社會福利基金會,(02)2893-6122,臺北市北投區泉源路華南巷16號1樓,N30002,北投區,北市社會字第北市社四字第839號函號,0730112,身障類
161,財團法人台北市私立許王秀英社會福利慈善事業基金會,(02)2581-5111,臺北市中山區松江路146號12樓,N30003,中山區,北市社會字第北市社四字第54268號函號,0751210,身障類
162,財團法人臺北市時雨社會福利事業基金會,,臺北市大安區濟南路3段25之1號5樓,N30004,大安區,北市社會字第北市社三字第18531號函號,0760422,身障類
163,財團法人台北市博愛福利基金會,(02)2391-5889,臺北市士林區天母西路3號4樓之1,N30005,士林區,北市社會字第北市社三字第38297號函號,0760817,身障類
164,財團法人台北市劉氏社會福利事業基金會,2395-1116,臺北市中正區仁愛路1段53號3樓,N30006,中正區,北市社會字第北市社三字第47613號函號,0761030,身障類
165,財團法人台北市王為昭先生慈善公益基金會,(02)2306-1164,臺北市萬華區大理街157號2樓,N30007,萬華區,北市社會字第北市社三字第6107號函號,0790223,身障類
166,財團法人台北市私立廣益社會福利慈善事業基金會,(02)2502-7717,臺北市中山區長春路279之3號3樓,N30008,中山區,北市社會字第北市社三字第40581號函號,0850808,身障類
167,財團法人玎妤慈愛基金會,(02)2752-1264,臺北市大安區濟南路3段25之1號3樓,N30009,大安區,北市社會字第北市社三字第8722513700號函號,0870527,身障類
168,財團法人台北市私立雙連視障關懷基金會,(02)2531-2320,臺北市中山區中山北路2段111號11樓,N30010,中山區,北市社會字第北市社三字第8721879200號函號,0870410,身障類
169,財團法人台北市新視界社會福利基金會,2882-4168 /0905-090995,臺北市士林區文林路718號4樓,N30011,士林區,北市社會字第北市社三字第09434826500號函號,0940516,身障類
170,財團法人台北市自閉兒社會福利基金會,2528-5266,臺北市松山區八德路4段306號8樓,N30012,松山區,北市社會字第北市社三字第09435652900號函號,0940607,身障類
171,財團法人天使心家族社會福利基金會,(02)2718-1165分機134,臺北市文山區臺北市文山區忠順街2段129號,N30013,文山區,北市社會字第北市社三字第09541804300號函號,0951114,身障類
172,財團法人臺北市小愉兒社會福利基金會,02-2321168111 / 0932260602,臺北市大安區和平東路1段87號10樓,N30015,大安區,北市社會字第北市社團字第10642691900號?號,1060918,身障類
173,財團法人臺北市大願慈善基金會,0918-161-234,臺北市中山區民權東路3段12號11樓之1,N30016,中山區,北市社會字第北市社團字第1113035828號號,1110328,身障類
174,財團法人台北糧食協進會,2557-6828,臺北市中正區漢口街一段67號4樓,N40001,中正區,北市社會字第北市民社字第28995號號,0450615,老福類
175,財團法人台北市三德善會,2736-2096,臺北市大安區樂利路94號,N40002,大安區,北市社會字第北市社四字第8226號號,0600505,老福類
176,財團法人台北市新光吳氏基金會,2769-0515分機25,臺北市松山區光復北路11巷35號13樓,N40003,松山區,北市社會字第北市社四字第1605號函號,0650120,老福類
177,財團法人台北市王子君紀念基金會,0987111685、0936-902-297,臺北市松山區敦化北路205號2樓,N40004,松山區,北市社會字第北市社四字第29167號號,0680914,老福類
178,財團法人台北市私立潘品如老人福利基金會,2397-3788,臺北市大安區金山南路二段209號,N40005,大安區,北市社會字第北市社四字第29648號號,0710821,老福類
179,財團法人臺北市私立仁愛社會福利事業基金會,2657-0730,臺北市內湖區基湖路35巷16號4樓之2,N40006,內湖區,北市社會字第北市社四字第42063號號,0711104,老福類
180,財團法人臺北市王文佰紀念基金會,2783-6357,臺北市南港區成福路180巷16號,N40007,南港區,北市社會字第北市社四字第17294號號,0720514,老福類
181,財團法人台北市私立佛教菩提慈善基金會,2558-5736,臺北市大同區南京西路18巷4弄2號,N40008,大同區,北市社會字第北市社四字第17482號號,0720516,老福類
182,財團法人台北市真如苑社會福利事業基金會,8509-7070,臺北市中山區堤頂大道二段486號,N40009,中山區,北市社會字第北市社四字第23974號號,0730623,老福類
183,財團法人臺北市明光基金會,04-2699-2078,臺北市信義區基隆路二段151-5號3樓,N40010,信義區,北市社會字第北市社四字第39763號號,0740907,老福類
184,財團法人臺北市私立彌堅基金會,0910-480-730,臺北市松山區南京東路四段197號8樓之4,N40011,松山區,北市社會字第北市社四字第31101號號,0760710,老福類
185,財團法人台北市潘氏社會福利事業基金會,2767-8497,臺北市松山區南京東路五段29-3號3樓,N40012,松山區,北市社會字第北市社四字第32575號號,0760717,老福類
186,財團法人台北市老人基金會,2533-3333,臺北市中山區敬業一路128巷41號2樓之2,N40013,中山區,北市社會字第北市社四字第33240號號,0760720,老福類
187,財團法人臺北市安親慈善基金會,23319333,臺北市南港區聯成里8鄰忠孝東路6段278巷23弄29號,N40014,南港區,北市社會字第北市社四字第39655號號,0760824,老福類
188,財團法人台北市立心慈善基金會,0,臺北市萬華區西園路2段152號5樓,N40015,萬華區,北市社會字第北市社四字第55895號號,0761205,老福類
189,財團法人台北市蔡雪泥公益慈善基金會,2858-3080分機523,臺北市中山區民權西路48號5樓,N40017,中山區,北市社會字第北市社三字第14469號號,0770427,老福類
190,財團法人台北市莊淑旂社會福利事業基金會,2579-5050,臺北市士林區天母北路68-10號1樓,N40018,士林區,北市社會字第北市社三字第27312號號,0770806,老福類
191,財團法人台北市育達社會福利事業基金會,2720-2757,臺北市松山區寧安街12號,N40019,松山區,北市社會字第北市社三字第41234號號,0771117,老福類
192,財團法人台北市私立長德老人基金會,2597-2121,臺北市中山區新生北路3段62巷6號12樓,N40020,中山區,北市社會字第北市社三字第45896號號,0771227,老福類
193,財團法人台北市建大社會福利基金會,2581-2885,臺北市大同區承德路三段87號,N40021,大同區,北市社會字第北市社三字第10031號號,0780323,老福類
194,財團法人台北市德義社會福利慈善事業基金會,0960-674-713,臺北市中山區長安東路一段27號3樓,N40022,中山區,北市社會字第北市社三字第48978號號,0801211,老福類
195,財團法人台北市私立全人愛心基金會(解散清算中),0,臺北市大安區新生南路一段97巷36號,N40023,大安區,北市社會字第北市社四字第87525202600號號,0870924,老福類
196,財團法人台北市私立李雪吟社會福利慈善事業基金會,2712-8000分機272,臺北市士林區中正路450-1號3樓,N40024,士林區,北市社會字第北市社四字第8921734900號函號,0890327,綜合慈善
197,財團法人台北市私立黃尊秋社會福利慈善基金會,2662-2499,臺北市大安區師大路71號,N40025,大安區,北市社會字第北市社四字第89288416號號,0891212,老福類
198,財團法人臺北市福澤懷聰慈善基金會,87801669,臺北市內湖區瑞光路122巷71弄12號1樓,N40026,內湖區,北市社會字第北市社四字第09533266200號號,0950406,老福類
199,財團法人臺北市無子西瓜社會福利基金會,2600-6099分機28,臺北市內湖區新湖二路146巷19號3樓,N40027,內湖區,北市社會字第北市社團字第10036267800號號,1000503,老福類
200,財團法人臺北市松年長春社會福利基金會,2500-0261,臺北市中山區龍江路318巷7號1樓,N40028,中山區,北市社會字第北市社三字第33971號號,0800823,老福類
201,財團法人台北市私立碧梧婦孺福利基金會,2311-1531分機2601,臺北市中正區延平南路129巷4號,N50001,中正區,北市社會字第號,0720815,婦女類
202,財團法人台北市現代婦女基金會,8773-2580,臺北市中正區羅斯福路1段7號7樓之1B室,N50002,中正區,北市社會字第號,0760414,婦女類
203,財團法人婦女新知基金會,2502-8715,臺北市中山區龍江路264 號4樓,N50003,中山區,北市社會字第號,0761002,婦女類
204,財團法人台北市基督教全人福利事業基金會,2703-6633,臺北市信義區吳興街269巷18弄8號,N50004,信義區,北市社會字第北市社四字第19623號函號,0770608,綜合慈善
205,財團法人台北市婦女救援社會福利事業基金會,2555-8595分機36,臺北市大同區承德路3段32號5樓,N50005,大同區,北市社會字第號,0771208,婦女類
206,財團法人台北市敦安社會福利基金會,3393-2225分機14,臺北市中正區羅斯福路1段36號4樓,N50006,中正區,北市社會字第號,0881028,婦女類
207,財團法人台北市光智社會事業基金會,(02)2885-4250,臺北市士林區通河街137號2樓之2,N60001,士林區,北市社會字第北市社四字第29041號函號,0720728,兒少類
208,財團法人台北市友緣社會福利事業基金會,(02)2769-3319,臺北市松山區南京東路5段123巷8弄8號,N60002,松山區,北市社會字第北市社四字第10842號函號,0730320,兒少類
209,財團法人台北市韓母謝太夫人慈幼基金會,(02)2952-9901李先生,臺北市文山區汀州路四段105巷28號2樓,N60003,文山區,北市社會字第北市社四字第39777號函號,0740914,兒少類
210,財團法人台北市新生代社會福利事業基金會,0937-193-361,臺北市內湖區堤頂大道2段207號9樓,N60004,內湖區,北市社會字第北市社四字第55094號函號,0761224,兒少類
211,財團法人台北市中華唇顎裂兒童基金會,(02)2603-3423,臺北市北投區湖山路1段12號,N60007,北投區,北市社會字第北市社四字第10647號函號,0770331,兒少類
212,財團法人台北市覺心兒童福利基金會,2976-5394,臺北市中山區中山北路2段59巷44弄3號,N60008,中山區,北市社會字第北市社四字第10342號函號,0780323,兒少類
213,財團法人吳東進基金會,(02)2769-0515分機26,臺北市松山區光復北路11巷35號13樓,N60010,松山區,北市社會字第北市社六字第9388號函號,0830307,兒少類
214,財團法人台北市私立得榮社會福利基金會,(02)8788-1930,臺北市信義區信義路4段460號3樓之1,N60012,信義區,北市社會字第北市社六字第8721567100號函號,0870401,兒少類
215,財團法人臺北市松陽社會福利事業基金會,(02)2586-7563轉110、(02)2331-7635,臺北市中山區撫順街23號2樓,N60014,中山區,北市社會字第北市社六字第09441467400號函號,0941021,兒少類
216,財團法人台北市失親兒福利基金會,(02)2747-7555轉103,臺北市松山區寶清街18-3號,N60015,松山區,北市社會字第北市社六字第09636723100號函號,0960620,兒少類
217,財團法人台北市愛慈社會福利基金會,(02)2370-3579分機11,臺北市中正區公園路20巷14號4樓,N60016,中正區,北市社會字第北市社團字第09738571000號號,0970812,兒少類
218,財團法人台北市緣兒童慈善基金會,02-26532126分機307，0928-890021,臺北市大安區延吉街233之2號4樓,N60017,大安區,北市社會字第北市社團字第10633023300號函號,1060308,兒少類
219,財團法人臺北市基督教伯大尼兒少家庭基金會,02-29396396分機1102,臺北市文山區保儀路129號,N60018,文山區,北市社會字第北市社四立字第18802號號,0601027,兒少類
220,財團法人臺北市台灣眾望關懷基金會,,臺北市松山區南京東路3段261號2樓之A2,N20164,松山區,北市社會字第北市社團字第1113157797號號,1111102,綜合慈善
221,財團法人臺北市磁山社會福利基金會,7728-9397,臺北市士林區永公路495號,N20166,士林區,北市社會字第北市社團字第1123066882號號,1130822,綜合慈善
