序號,縣市別,機構數,各縣市序號,機構名稱,電話,地址,戒治機構模式,戒治服務內容
195,10013,195,6,泰祥診所,(08)7881777,屏東縣潮州鎮新生路111號3樓,藥癮戒治診所,丁基原啡因
196,10013,196,7,興安診所,(08)7346666,屏東縣屏東市自由路463號,藥癮戒治診所,丁基原啡因
197,10013,197,8,寬心診所,(08)7333555,屏東縣屏東市中山路40號,藥癮戒治診所,丁基原啡因
198,10013,198,9,迦樂醫療財團法人迦樂醫院,(08)7981511,屏東縣新埤鄉箕湖村進化路12之200號,藥癮戒治醫院,丁基原啡因
199,10013,199,10,屏東榮民總醫院龍泉分院,(08)7704115,屏東縣內埔鄉龍潭村昭勝路安平1巷1號,藥癮戒治醫院,美沙冬
200,10013,200,11,國軍高雄總醫院附設屏東民眾診療服務處,(08)7560756,屏東縣屏東市大湖路58巷22號,藥癮戒治醫院,
201,10013,201,12,佑青醫療財團法人佑青醫院,(08)7705115,屏東縣內埔鄉建興村218巷19號,藥癮戒治醫院,
202,10013,202,13,輔英科技大學附設醫院,(08)8323146,屏東縣東港鎮中山路5號,替代治療醫院,丁基原啡因
203,10013,203,14,枋寮醫療社團法人枋寮醫院,(08)8789991,屏東縣枋寮鄉中山路139號,替代治療衛生所,丁基原啡因
204,10013,204,15,屏東縣鹽埔鄉衛生所,(08)7932474,屏東縣鹽埔鄉鹽北村勝利路187號,替代治療衛生所,丁基原啡因
205,10013,205,16,屏東縣獅子鄉衛生所,(08)8782940,屏東縣獅子鄉楓林二巷32號,替代治療衛生所,丁基原啡因
206,10013,206,17,屏東縣萬?鄉衛生所,(08)7772049,屏東縣萬丹鄉萬丹路一段501號,替代治療衛生所,丁基原啡因
207,10013,207,18,屏東縣高樹鄉衛生所,(08)7962026,屏東縣高樹鄉南昌路12之2號,替代治療衛生所,丁基原啡因
208,10016,208,1,衛生福利部澎湖醫院,(06)9261151分機50119,澎湖縣馬公市中正路10號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
209,10015,209,1,佛教慈濟醫療財團法人花蓮慈濟醫院,(03)8561825,花蓮市中央路三段707號,藥癮戒治核心醫院,丁基原啡因
210,10015,210,2,國軍花蓮總醫院附設民眾診療服務處,"(03)826-0601
(03)826-3152",花蓮縣新城鄉嘉里村嘉里路163號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
211,10015,211,3,臺北榮民總醫院玉里分院,(03)888-3141,花蓮縣玉里鎮新興街91號,藥癮戒治醫院,
212,10015,212,4,衛生福利部花蓮醫院,(03)8358141,花蓮縣花蓮市中正路600號,藥癮戒治醫院,美沙冬
213,10015,213,5,衛生福利部玉里醫院,(03)8886141,花蓮縣玉里鎮中華路448號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
214,10014,214,1,衛生福利部臺東醫院,(089)324112,臺東縣臺東市五權街1號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
215,10014,215,2,臺北榮民總醫院臺東分院,(089)222995,臺東縣臺東市更生路1000號,藥癮戒治醫院,
216,10014,216,3,東基醫療財團法人台東基督教醫院,(089)960888,臺東縣臺東市開封街350號,藥癮戒治醫院,美沙冬/丁基原啡因
