編號,評鑑等級,機構名稱,機構地址,電話,傳真,經營業務範圍,所屬仲介公會,負責人/經理人姓名,負責人/經理人英文姓名,公司統一編號,營業項目,專業人員人數,聘僱許可雙語人員人數,從業人員人數
133,績優免評,安侯企業管理股份有限公司,臺北市信義區信義路５段７號６８樓,(02)81016666,(02)81016667,國內暨國外,,于紀隆,"YU, CHI-LUNG",22102494,I701011,1,0,2
134,B,遞億行有限公司,臺北市中山區新生北路３段６１號３樓之２２,(02)25850303,(02)25852393,國內暨國外,,林三川,LIN SAN-CHUAN,24326034,I701011,2,1,7
135,績優免評,華德士股份有限公司,臺北市信義區松智路１號１０樓,(02)87580700,(02)87580799,國內暨國外,,貝明修,MATTHEW PHILLIP BENNETT,53546368,I701011,8,0,14
136,尚無,精準企業管理顧問股份有限公司,臺北市中正區新生南路一段１０２號４樓,02-25782582,02-25780486,國內暨國外,,樓翠珍,"LOU,CHEN-TSUEI",16618233,I701011,1,0,5
137,B,凱迪人力仲介有限公司,臺北市大安區復興南路２段１６４號４樓,02-27023985,02-27552390,國內暨國外,,何毅民,"HO, I-MING",53735353,I701011,4,2,11
138,尚無,經緯智庫股份有限公司,臺北市大安區敦化南路２段７１號９樓,02-27082929,02-27029572,國內暨國外,,許書揚,HSU SHU-YANG,12683107,I701011,9,0,30
139,尚無,全球華人股份有限公司,臺北市松山區南京東路５段８９號１４樓,02-87871111,02-27637472,國內暨國外,,林文雄,LIN WEN XIONG,16776387,I701011,6,0,30
140,績優免評,好康人力資源管理顧問有限公司,臺北市中山區中山北路２段１０２號５樓之３,02-25221275,02-25222513,國內暨國外,,李美莉,LEE MEI LI,53763483,I701011,2,0,5
141,B,超速國際人力資源有限公司,臺北市文山區景福街５８號１樓,02-89331234,02-89331733,國內暨國外,,戴春帆,TAI CHUN-FAN,80181361,I701011,3,0,11
142,尚無,華光國際人力仲介有限公司臺北分公司,臺北市大同區貴德街３８之１號１樓,02-25569111,03-9331799,,,許裕源,"HSU, YU-YUAN",54979567,I701011,1,0,2
143,尚無,華光國際人力仲介有限公司亞太分公司,臺北市文山區木柵路２段８３號１樓,02-29385086,03-9331799,,,陳柏澔,"CHEN, PO-HAO",54974021,I701011,1,0,2
144,B,力銓國際開發有限公司台北分公司,臺北市中正區和平西路２段１４１號２樓之８,02-23142758,02-23142786,,,余文博,"YU, WEN-BO",83487350,I701011,1,0,3
145,B,銓冠國際有限公司,臺北市中山區民權東路２段２６號４樓之４,02-25118171,02-25118172,國內暨國外,,張珈華,CHANG CHIA HUA,53941017,I701011,3,1,11
146,尚無,台灣米高蒲志國際股份有限公司,臺北市信義區松仁路３６號８樓之１,02-87298211,02-87298201,國內暨國外,,許宗仁,KOH CHONG JIN,53536988,I701011,6,0,33
147,B,大邁人力仲介有限公司,臺北市大安區建國南路２段１９５號１１樓,02-27071678,02-27072155,國內暨國外,,劉志華,LIU CHIH HUA,54151476,I701011,1,0,5
148,B,詠安人力仲介有限公司台北分公司,臺北市士林區蘭興里德行西路７號１１樓,02-88663633,02-88663533,,,林虹吟,"LIN, HUNG-YIN",82857684,I701011,1,0,2
149,績優免評,夆駿人力仲介有限公司,臺北市中山區新生北路１段５０號,02-25636002,02-25629497,國內暨國外,,方俊雄,"FANG, CHUN-HSIUNG",54173020,I701011,2,0,8
150,A,智邦人力資源管理顧問有限公司,臺北市萬華區長沙街２段９１號５樓之５,(02)23311998,(02)23311968,國內暨國外,,陳湘妘,"CHEN,HSIANG-YUN",54172182,I701011,2,0,10
151,B,台灣英特艾倫人力資源有限公司,臺北市中山區民權東路３段１３號２樓,02-77462888,02-25096186,國內暨國外,,謝吉雄,HSIEH CHI HSIUNG,54171509,I701011,3,0,5
152,尚無,台灣英創管理顧問股份有限公司,臺北市松山區南京東路四段１號１１樓,02-2721-3390,02-2731-2500,國內暨國外,,山崎高之,YAMAZAKI TAKAYUKI,28463369,I701011,11,0,54
153,尚無,工作假期有限公司,臺北市萬華區成都路４號１０樓,02-23619002,02-81926342,國內暨國外,,林韻柔,LIN YUN JOU,54337733,I701011,1,0,3
154,A,吉星環球有限公司,臺北市中山區民生東路１段２５號６樓之２９,02-25683600,,國內暨國外,,陳繼東,CHEN GI-DON,54180492,I701011,1,0,5
155,尚無,新加坡商立可人事顧問有限公司台灣分公司,臺北市信義區松仁路９７號１０樓之２,02-87806819,02-87806823,國內暨國外,,王慧媛,ONG HUI YUAN,70804635,I701011,9,0,28
156,尚無,日鏵國際企劃股份有限公司,臺北市中正區襄陽路１號７樓之２,02-23311008,02-23318708,國內暨國外,,海老名宏明,EBINA HIROAKI,28194695,I701011,3,0,3
157,尚無,英屬維京群島商浩華國際人力顧問股份有限公司台灣分公司,臺北市松山區敦化北路２０７號５樓之４,02-25140443,02-27198124,國內暨國外,,簡秀珠,"CHIEN,HSIU-CHU",53676349,I701011,1,0,3
158,B,凱勵國際有限公司,臺北市內湖區內湖路２段３３９巷１０弄１１號,02-87910556,02-87910551,國內暨國外,,井勵德,"CHING,LI-TE",53332226,I701011,1,0,5
159,B,安家國際人力資源有限公司,臺北市中山區松江路４２號５樓之２,02-25679611,02-25679383,國內暨國外,,翁鳳麗,"WENG,FENG-LI",25113179,I701011,1,0,5
160,A,富達人力仲介股份有限公司,臺北市松山區南京東路五段１５４號１１樓,02-25283216,02-25281757,國內暨國外,,葉天翔,YEH TIEH HSIANG,54655309,I701011,5,0,19
161,績優免評,國際教育諮詢有限公司,臺北市萬華區中華路１段７８號７樓,02-23702277,02-23709922,國內暨國外,,李紹禮,LEE SHIU LAI,28700644,I701011,1,0,5
162,績優免評,長隆人力資源股份有限公司,臺北市中山區建國北路二段３３號１４樓之４,02-5552-5559,02-2516-0738,國內暨國外,,高壽濤,KAO SHOU TAO,12886089,I701011,1,0,3
163,績優免評,亞盟國際有限公司,臺北市大同區民生西路３００號７樓,02-25563311,02-2555-7222,國內暨國外,,杜大成,TU TA CHENG,24537896,I701011,7,0,29
164,A,菲揚國際有限公司,臺北市松山區復興北路１號１６樓之３,02-27518991,02-27518996,國內暨國外,,曾國柱,"TSENG,KUO-CHU",24548177,I701011,2,0,9
165,B,興群實業有限公司,臺北市大同區承德路３段１１１號３樓,02-2592-8111,02-2592-8881,國內暨國外,,薛乃瑞,"HSUEH,NAI-JUI",89449447,I701011,2,0,6
166,績優免評,昇揚國際開發有限公司,臺北市中山區民權東路二段１４２號４樓,02-25158556,02-25094117,國內暨國外,,羅盈勝,LO YING SHENG,24575103,I701011,5,0,35
167,績優免評,鳳凰聯合開發有限公司,臺北市中山區長春路５９號３樓,02-2562-0195,02-2537-7284,國內暨國外,,葉錦彙,"YEH, CHIN HUI",24693328,I701011,3,0,9
168,B,立揚國際人力資源有限公司,臺北市中山區中山北路３段２６號１２樓之３,(02)25980600,02-25924930,國內暨國外,,張慧慈,CHANG HUI-TZU,24776946,I701011,1,0,5
169,B,宏亞人力資源股份有限公司,臺北市松山區八德路４段６８６號８樓之１,02-27676516,02-27669480,國內暨國外,,余紀仁,"YU, CHI-JEN",24773103,I701011,1,0,3
170,B,永鑽人力資源有限公司,臺北市大同區承德路三段５５號３樓,02-25988270,02-25973869,國內暨國外,,陳志輝,"CHEN,CHIH HUI",24970049,I701011,1,0,3
171,尚無,台灣英特科股份有限公司,臺北市中山區民權東路３段７５巷２弄７號１樓,04-22652887,04-22175168,國內暨國外,,栗山勝宏,KURIYAMA KATSUHIRO,80500479,I701011,1,0,3
172,B,統振股份有限公司,臺北市內湖區安美街１８１號１樓及６樓,02-27965959,02-27965960,國內暨國外,,陳敦仁,"CHEN, TUN-JEN",12135600,I701011,2,0,9
173,尚無,幸亞國際顧問有限公司,臺北市中正區重慶南路１段４３號１０樓之３,02-23700098,0-23700108,國內暨國外,,王淑敏,"WANG, SHU-MIN",42614487,I701011,1,0,2
174,B,徠可人才仲介有限公司,臺北市大同區長安西路６６號３樓,02-25589838,02-25589834,國內暨國外,未加入公會或不詳,翁文宏,"WENG,WEN-HUNG",54847996,I701011,1,0,5
175,績優免評,櫻花留學有限公司台北分公司,臺北市中正區忠孝西路１段４１號１２樓之１,02-23887055,,,,吳香霏,WU HSIANG-FEI,24667074,I701011,1,0,4
176,尚無,東南亞國際人力資源有限公司,臺北市松山區南京東路５段６３號５樓之１、５樓之２,02-7706-1234,02-27630447,國內暨國外,,許瓊瑱,"HSU, CHIUNG-CHEN",42656107,I701011,9,0,53
177,B,助人人力仲介有限公司,臺北市文山區辛亥路５段５５巷６號３樓,02-2933-2886,02-2933-2568,國內暨國外,,莊惟麟,CHUANG WEI-LIN,42743291,I701011,1,0,2
178,尚無,艾特管理顧問有限公司,臺北市中山區遼寧街６３巷１４號１樓,02-66177880,,國內暨國外,,林碧玉,PI-YU LIN,53766334,I701011,1,0,1
179,B,首席人力資源有限公司,臺北市松山區復興北路１５號１２樓之３,02-27400025,02-27400026,國內暨國外,,徐怡翔,"LIU,SHU YI-SHAN",42842905,I701011,1,0,4
180,尚無,知識遊學顧問有限公司,臺北市大安區敦化南路２段１號１０樓,02-23255058,02-23255268,國內暨國外,,海明明,HAI MING MING,28827050,I701011,1,0,1
181,B,寶時人力開發有限公司,臺北市大安區復興南路二段２７號７樓,02-27046789,02-27032222,國內暨國外,,李一正,LEE I CHENG,42855838,I701011,2,0,7
182,B,家康人力資源有限公司,臺北市南港區忠孝東路６段２８５號１１樓之８,(02)27826767,(02)27826761,國內暨國外,,吳孟儒,WU MENG JU,43425908,I701011,2,0,10
183,B,家樂福人力資源有限公司,臺北市大同區承德路一段３５號８樓之１,02-2559-7898,02-2559-6700,國內暨國外,,張嘉峰,"CHANG, JYA-FONG",43940138,I701011,2,0,6
184,A,鴻旭國際企業有限公司,臺北市內湖區環山路１段７７號４樓,02-26588538,02-26575490,國內暨國外,,鄭博元,"CHENG, PO-YUAN",43906758,I701011,1,0,3
185,B,美嘉人力資源股份有限公司,臺北市松山區八德路四段１０６巷２弄１４號,02-8732-0606,08-8732-3535,國內暨國外,,韓忠平,"HAN,CHUNG-PING",52207468,I701011,2,0,7
186,尚無,力鵬國際開發有限公司,臺北市松山區民權東路３段１７８號８樓,02-77367399,02-25865480,國內暨國外,,陳衍翰,CHEN YEN HAN,52220461,I701011,1,0,3
187,尚無,星翁企業有限公司,臺北市中山區林森北路１３３巷６３號１樓,02-25433783,02-25318952,國內暨國外,,林政華,LIN CHENG HWA,4436033,I701011,1,0,4
188,尚無,萬豐人力資源管理顧問有限公司,臺北市大安區敦化南路２段５９號３樓之２,02-27087118,02-27087282,國內暨國外,,張浩城,"CHANG, HAO-CHENG",52340992,I701011,2,0,5
189,C,全家人力仲介有限公司,臺北市中山區吉林路１２之３號４樓,02-25214160,02-25212119,國內暨國外,,林哲仲,LIN CHE-CHUNG,52417226,I701011,1,0,3
190,B,金龍人力仲介有限公司,臺北市中正區南昌路２段２００號３樓,02-23678909,02-23678906,國內暨國外,,賴永玲,LAI YUNG LING,52437840,I701011,1,0,3
191,尚無,東南亞真好有限公司,臺北市松山區南京東路５段６３號９樓,02-27634119,02-27634901,國內暨國外,,林中一,"LIN,CHUNG-YI",52431682,I701011,5,0,18
192,B,永續人力資源顧問有限公司,臺北市中山區中山北路１段７２號１０樓之３,02-25315151,02-25211010,國內暨國外,,陳姿?,"ZAI WEN, CHEN",52496018,I701011,2,0,3
193,尚無,新加坡商艾得克有限公司台灣分公司,臺北市信義區信義路５段７號２４樓,02-81015118,02-81015127,國內暨國外,,林明偉,LIM MENG WEE,70774153,I701011,10,0,58
194,尚無,新加坡商和樂网有限公司台灣分公司,臺北市信義區信義路５段７號５２樓,02-81010158,02-81010058,國內暨國外,,尹??,WAN POH CHENG,16450924,I701011,6,0,29
195,A,家事通人力股份有限公司,臺北市中正區忠孝東路１段７６號８樓之３,02-23920109,02-23920155,國內暨國外,,黎金生,"LEE,CHIN-SHEN",27434872,I701011,3,0,15
196,尚無,美商佰德管理顧問有限公司台灣分公司,臺北市內湖區瑞光路４４１號６樓,02-25148080,02-25147979,國內暨國外,,吳添財,GOH TIAN CHYE,70765984,I701011,8,0,8
197,B,凱達國際管理顧問有限公司,臺北市萬華區峨眉街１０９號６樓,02-27587800,02-27587860,國內暨國外,,朱麗清,"CHU, LI-CHIN",52549606,I701011,2,0,5
198,A,悅元人力資源股份有限公司,臺北市大安區光復南路２６８號８樓之１,02-27310705,02-27315118,國內暨國外,,高忠興,KAO CHUNG-HSING,52563310,I701011,4,0,13
199,尚無,汎亞人力資源管理顧問有限公司,臺北市大安區和平東路２段２９５號１０樓,02-27555737,02-27555114,國內暨國外,,蔡宗志,"TSAI, CHUNG-CHIH",86888370,I701011,6,0,18
200,B,勝格國際顧問有限公司,臺北市中正區林森北路９巷２０號１樓,02-3322-1119,02-2321-4479,國內暨國外,,游宸綝,"YU, CHEN-LIN",24855977,I701011,1,0,3
201,尚無,德倫思管理顧問有限公司,臺北市內湖區堤頂大道二段４１５號７樓,02-77218638,02-77213638,國內暨國外,,許道君,"HSU, TAO-CHUN",53759495,I701011,4,0,4
202,尚無,明來開發股份有限公司,臺北市中山區南京東路２段１３７號１４樓,02-77458477,02-77458299,國內暨國外,,松下補,MITSURU MATSUHITA,52645642,I701011,1,0,3
203,B,友源人力仲介有限公司,臺北市萬華區貴陽街二段３９號１４樓之５,02-25156557,02-25157849,國內暨國外,,鄭雅麗,"CHENG,YA-LI",52694278,I701011,1,0,1
204,尚無,智理管理顧問股份有限公司,臺北市內湖區基湖路３巷９號４樓之２,02-26578337,02-26599649,國內暨國外,,徐慧郁,"HSU,HUI-YU",28842616,I701011,7,0,30
205,B,安鋒人力資源有限公司,臺北市信義區基隆路２段５２號８樓,02-87800969,02-87800989,國內暨國外,,陳精國,"CHEN,JING-KOU",52757619,I701011,1,0,3
206,尚無,台灣次世代教育有限公司,臺北市中正區重慶南路１段１０號８樓,02-23715488,02-23715358,國內暨國外,,林致廷,"LIN,CHENG-TING",52249256,I701011,1,0,2
207,尚無,台灣拓步人材管理顧問有限公司,臺北市中山區松江路２２０號４樓之１,02-2531-7151,02-2531-7167,國內暨國外,,庄子潔,SHOJI KIYOSHI,52792019,I701011,1,0,9
208,尚無,精英人力資源股份有限公司,臺北市松山區敦化南路一段２號１０樓,02-25782420,02-25780486,國內暨國外,,劉匡華,"LIU,KUANG-HWA",86298085,I701011,3,0,10
209,B,長欣利國際人力顧問有限公司,臺北市中山區集英里天祥路５９號５樓之１,02-25994588,02-25923468,國內暨國外,,廖浩彬,LIAW HAW-PIN,52671541,I701011,2,0,10
210,尚無,台灣易簽顧問有限公司,臺北市中山區明水路６９６號３樓之６,02-8502-3173,02-8502-2393,國內暨國外,,凌儷瑤,"LING,LI-YAO",53345968,I701011,1,0,4
211,尚無,友儷人力仲介有限公司,臺北市萬華區西園路２段１７８號２樓,02-23021117,02-23021117,國內暨國外,,高儷綺,KAO LI CHI,55679763,I701011,1,0,2
212,尚無,台北正格國際人力資源有限公司,臺北市大安區復興南路２段８２號１０樓,02-27540331,02-27051919,國內暨國外,,楊文婷,"YANG, WEN-TING",80525041,I701011,4,0,20
213,尚無,日安人力仲介有限公司,臺北市松山區八德路三段１２巷５５號１樓,02-25770116,02-25770126,國內暨國外,,林澤緯,"LIN,TSE-WEI",55717041,I701011,1,0,3
214,尚無,奇心人力資源顧問有限公司,臺北市大安區信義路４段２８１號１１樓,(02)77430885,02-77430882,國內暨國外,,王少奇,WANG SHAO CHI,55797945,I701011,1,0,2
215,尚無,立樂高園股份有限公司,臺北市松山區復興北路３６９號７樓之１、之２,02-2718-9585,02-2718-6585,國內暨國外,,內藤兼二,NAITO KENJI,24959213,I701011,7,0,29
216,尚無,資誠人資管理顧問有限公司,臺北市信義區基隆路一段３３３號２６樓,02-2729-6666,,國內暨國外,,林瓊瀛,"LIN,CHUNG-YING",55783365,I701011,1,0,1
217,尚無,台北城堡資產管理有限公司,臺北市中正區忠孝西路１段３３號７樓,02-23143916,02-23143421,國內暨國外,,汪鳳娟,"CHOU WANG, FENG-CHUAN",28680210,I701011,1,0,5
218,尚無,樂駿有限公司,臺北市大安區忠孝東路４段１６９號１２樓之１,02-27716771,,國內暨國外,,葉蒼?,"YEH,TSANG-FEN",54667570,I701011,2,0,7
219,尚無,益晟人力資源有限公司,臺北市大安區敦化南路二段２號６樓,,,國內暨國外,,張潘美滿,CHANG PAN MEI MAN,64220677,I701011,1,0,1
220,尚無,夢全球有限公司,臺北市中山區松江路１０１號３樓,02-25180178,02-25180278,國內暨國外,,川下敏久,TOSHIHISA KAWASHITA,53942509,I701011,2,0,7
221,尚無,世凰有限公司,臺北市內湖區內湖路１段３８８號７樓之２,02-2627-9799,02-87972579,國內暨國外,,徐秋菊,"HSU, CHIU-CHU",80181622,I701011,4,0,8
222,尚無,興特人力仲介股份有限公司,臺北市中正區延平南路１８９號Ｂ１之２,02-22269880,02-23160199,國內暨國外,,楊家興,YANG JIAXING,50771805,I701011,1,0,3
223,尚無,亞太國際資源管理顧問有限公司,臺北市信義區信義路５段９１巷１２弄１號２樓之６,02-87860202,02-87860202,國內暨國外,,陳怡寧,CHEN YI LING,50758726,I701011,1,0,5
224,尚無,香港商領英股份有限公司台灣分公司,臺北市信義區忠孝東路５段６８號１８樓,,,國內暨國外,,MICHELLE KATY LEUNG,MICHELLE KATY LEUNG,42941193,I701011,1,0,1
225,尚無,新雨有限公司,臺北市松山區健康路９０號１樓,02-87123535,02-87123737,國內暨國外,,王佳惠,"WANG, CHIA-HUI",50790078,I701011,1,0,2
226,尚無,清溪國際有限公司,臺北市大安區安居街１１８巷３號１樓,02-87329900,02-87325522,國內暨國外,,厲建瑋,LI CHIEN WEI,50795047,I701011,1,0,1
227,尚無,伯陽國際有限公司,臺北市中山區林森北路５７５號５樓之８,02-25952655,02-25989201,國內暨國外,,蔡銘堂,"TSAI, MING-TANG",22611547,I701011,1,0,5
228,尚無,名洋人力資源國際有限公司,臺北市中山區民權東路二段２６號８樓,(02)25413111,,國內暨國外,,陳世廷,"CHEN, SHIH-TING",55848536,I701011,1,0,5
229,尚無,格瑞特人力資源有限公司,臺北市萬華區西園路１段２００號６Ｆ之３,02-23363717,02-23366587,國內暨國外,,林和蓁,"LIN,HO-CHEN",50797761,I701011,4,0,12
230,尚無,鼎尚人力仲介有限公司,臺北市內湖區文湖街２之１號１樓,02-27976680,02-87519393,國內暨國外,,彭錦熙,PENG JIN SHI,50863847,I701011,1,0,3
231,尚無,人傑管理顧問有限公司,臺北市松山區南京東路３段２８７號２樓,02-77248259,02-77248299,國內暨國外,,尤曉文,"YU,HSIAO-WEN",50880395,I701011,1,0,1
232,尚無,大都會國際移民事業有限公司,臺北市松山區敦化北路１０２號１０樓,(02)87123333,(02)87127733,國內暨國外,,陳應富,"CHEN,YING-FU",27761761,I701011,1,0,4
233,尚無,長興利國際管理顧問有限公司,臺北市中山區集英里天祥路５９號５樓之３,02-25994588,02-25923468,國內暨國外,,王慧美,"WANG, HUI-MEI",28824173,I701011,1,0,2
234,尚無,遠杰人力仲介有限公司,臺北市中正區忠孝東路１段８５號１４樓之１,02-25527050,02-33221463,國內暨國外,,鄧碧琪,PI CHI TENG,54951483,I701011,2,0,6
235,尚無,愛意達股份有限公司,臺北市中山區南京東路２段６６號７樓,02-2523-2636,,國內暨國外,,巿川知之,ICHIK AWA TOMOYUKI,50902139,I701011,1,0,2
236,尚無,台灣邁爾仕管理顧問有限公司,臺北市大安區忠孝東路４段１６９號６樓之１,02-27722118,02-27312978,國內暨國外,,里章宏,SATO AKIHIRO,50789678,I701011,1,0,3
237,尚無,傑優有限公司,臺北市大安區信義路四段９８號５樓,02-66172566#108,,國內暨國外,,陳威任,WEI-JEN CHEN,42835361,I701011,2,0,8
238,尚無,祥和國際人力開發有限公司,臺北市萬華區中華路二段５０４巷４號,02-23097606,,國內暨國外,,吳家祥,"WU, JIA-SIANG",82827084,I701011,1,0,3
239,尚無,贊立有限公司,臺北市內湖區東湖路１１３巷４９弄４０號,02-26339085,,國內暨國外,,楊贊立,SUSANDI KUNCORO,29157022,I701011,1,0,4
240,尚無,威際國際人力資源有限公司,臺北市中正區忠孝東路一段１５２號１１樓之６,02-25527078,,國內暨國外,,鄧碧琪,"TENG, PI CHI",82844416,I701011,1,0,2
241,尚無,澳捷國際人力顧問有限公司,臺北市大安區信義路４段６１號４樓之１,02-23250557,02-23250975,國內暨國外,,鍾文蒨,CHUNG WEN CHIEN,82887316,I701011,1,0,4
242,尚無,友睿資訊股份有限公司,臺北市中正區館前路２０號８樓之１,02-25566562,,國內暨國外,,陳秋瑜,"CHEN, CHIU-YU",42861634,I701011,2,0,6
243,尚無,錸德管理顧問有限公司,臺北市內湖區基湖路１號２樓,02-26276096,02-26276097,國內暨國外,,束政群,"SHU,CHENG-CHUN",50985686,I701011,4,0,12
244,尚無,匯誠國際開發有限公司,臺北市中山區民權東路３段３５號３樓,02-25000389,02-25034157,國內暨國外,,詹富程,"CHAN, FU-CHENG",82968252,I701011,1,0,2
245,尚無,韓商社群招募網股份有限公司臺灣分公司,臺北市大安區安和路二段９２號地下１樓,02-23976200,,國內暨國外,,李美英,"LEE,GLORIAMI-YUNG",42980857,I701011,1,0,4
246,尚無,伯樂亞太管理顧問有限公司,臺北市松山區南京東路３段２８７號１０樓,02-27180702,,國內暨國外,,中重宏基,HIROKI NAKASHIGE,24456991,I701011,7,0,24
247,尚無,華富人力資源管理顧問有限公司,臺北市中山區長安東路２段１７８號１０樓之２,02-27526960,02-27527143,國內暨國外,,謝敏梅,HSIEH MIN MEI,85131209,I701011,3,0,4
248,尚無,日商勵泉國際管理顧問股份有限公司台灣分公司,臺北市大同區南京西路４１號１１樓之５,02-25219277,02-25219278,國內暨國外,,高岡幸生,TAKAOKA YUKIO,82965522,I701011,1,0,4
249,尚無,佰德管理顧問有限公司,臺北市內湖區瑞光路４３５號６樓,,,國內暨國外,,吳添財,GOH TIAN CHYE,82962665,I701011,1,0,1
250,尚無,台灣邁那比股份有限公司,臺北市大安區忠孝東路四段２８５號７樓,02-25081820,02-25151160,國內暨國外,,張聖豪,CHANG SHENG HAO,82802653,I701011,2,0,4
251,尚無,才庫人力資源顧問股份有限公司,臺北市中山區長安東路一段２７號１１樓,02-2100-2625,02-2100-2685,國內暨國外,,楊朝安,YANG CHAO-AN,23421778,I701011,2,0,3
252,尚無,華卡企業股份有限公司,臺北市大安區敦化南路２段３３３號１０樓,(02)27375575,(02)27375521,國內暨國外,,林俞禎,"LIN,YU-CHEN",16798170,I701011,1,0,1
253,尚無,偉太人力仲介股份有限公司,臺北市南港區三重路１９之１３號７樓,02-26550066,02-26551100,國內暨國外,,鄔承渟,WU CHENG TING,85030271,I701011,1,0,2
254,尚無,萬合興業有限公司,臺北市中正區忠孝西路１段３７號２樓,02-2331-0671,,國內暨國外,,朱守一,"CHU,SHOU-I",85111365,I701011,1,0,2
255,尚無,仲冠國際人力資源股份有限公司,臺北市中正區南昌路２段１１號２樓,02-23957999,02-23957111,國內暨國外,,謝德明,"HSIEH, DE-MING",55826462,I701011,1,0,5
256,尚無,翔安台日人才有限公司,臺北市北投區溫泉路６５巷１６號１１樓之６,02-88096187,02-88096187,國內暨國外,,顧世全,KU SHIN CHUAN,85007243,I701011,1,0,1
257,尚無,翔達威國際有限公司,臺北市信義區基隆路２段１８９號５樓之４,02-27332909,02-27355300,國內暨國外,,邱楷翔,"CHIU,KAI-HSIANG",83465010,I701011,2,0,5
258,尚無,萬群國際有限公司,臺北市中山區林森北路５７５號５樓之５,02-25950852,02-25950852,國內暨國外,,蔡孟吟,TSAI MENG YIN,83826181,I701011,1,0,2
259,尚無,瑞星管理顧問股份有限公司,臺北市大安區忠孝東路４段２８５號１１樓,02-66362428,02-27772428,國內暨國外,,李聲揚,LEE SHENG YANG,24329139,I701011,6,0,23
260,尚無,高優國際留學有限公司,臺北市中山區南京東路一段５２號２樓,02-77083821,02-77083821,國內暨國外,,游沛瑾,YU PEI JIN,82909418,I701011,1,0,5
261,尚無,友源國際人力開發有限公司,臺北市萬華區貴陽街二段３３號３樓之２,02-25156557,02-25157849,國內暨國外,,姜羽凡,"CHIANG, YU-FAN",83714897,I701011,1,0,2
262,尚無,基地人事顧問股份有限公司,１０６臺北市大安區忠孝東路四段２７０號７樓,0919-588-835,,國內暨國外,,劉君羿,LIU CHUN YI,83784529,I701011,1,0,1
263,尚無,布魯斯人事顧問有限公司,臺北市中正區北平東路３０之３號４樓,935897478,,國內暨國外,,邱奎嵐,KUEI-LAN CHIU,85089758,I701011,1,0,3
264,尚無,思創奇策股份有限公司,臺北市信義區信義路四段４６０號１８樓,02-87291130,,國內暨國外,,張惠雯,"CHANG, HUI-WEN",64839411,I701011,1,0,1
265,尚無,傑彼斯有限公司,臺北市大安區忠孝東路４段２２１號１０樓,02-2731-7031,02-7706-6377,國內暨國外,,鄭俊宏,CHENG CHUN HUNG,42990567,I701011,1,0,2
266,尚無,奧通人力資源有限公司,臺北市中山區中山北路三段２５之３號１樓,02-8772-0782,02-8772-0783,國內暨國外,,陳挺軒,DAVID ZHONG CHEN,83512739,I701011,1,0,1
