單位名稱,統一編號,負責人,登記地址,公司電話,產業範疇,位置X座標,位置Y座標
美商亞洲美樂家有限公司台灣分公司,97160729,柯邁凱MckayF.Christensen,臺北市松山區八德路4段760號3樓,02-8787-5456,應用生技,308437,2771457
亞洲瑞思生物科技股份有限公司,12929762,洪建龍,臺北市松山區延壽街330巷8弄6號,02-2753-0125,應用生技,306494,2772093
亞斯德科技有限公司,84468824,王文富,臺北市信義區基隆路二段22號3樓之1,02-2758-0688 02-2888-1107,應用生技,306384,2769431
順華藥品工業股份有限公司,04610454,張戴德,臺北市中正區重慶南路3段36巷12號1樓,02-2303-7111,製藥產業,301969,2769031
星科生物科技股份有限公司,53526150,郭曜豪,臺北市中山區長安東路1段28之2號2樓,02-2820-2201,應用生技,303083,2771274
瀚揚有限公司,22733443,張來發,臺北市內湖區瑞光路188巷48號8樓,02-8751-0668,醫療器材產業,308178,2774066
水牛生醫科技股份有限公司,83083049,洪峯枝,臺北市信義區忠孝東路五段1號2樓,02-2517-4841,醫療器材產業,306998,2770475
昌固生物科技股份有限公司,53942135,李炫昇,臺北市信義區光復南路555號5樓,02-2722-7573,醫療器材產業,306271,2769355
自在生物科技股份有限公司,27333157,王惠美,臺北市中正區衡陽路7號15樓,02-2381-7978,應用生技,301842,2770574
英科智能有限公司,50759371,林彥竹,臺北市信義區忠孝東路4段563號8樓,02-2757-7168 02-2627-7227,應用生技,306914,2770488
亞洲沛妍生醫股份有限公司,53931215,莊勝博,臺北市內湖區民權東路6段16之1號地下1層,02-7720-8266,應用生技,308257,2773231
麥智精密股份有限公司,43904365,林哲勛,臺北市內湖區新湖一路86號2樓,02-2795-1668,醫療器材產業,308075,2772407
鼎健生物科技食品股份有限公司,84790458,林美鈴,臺北市中正區羅斯福路3段76號7樓之2,02-2592-3609,應用生技,303114,2768324
生基生技股份有限公司,27958672,季伯吉雅保羅,臺北市中山區遼寧街101巷2弄14號1樓,02-2709-5886；02-2708-0888,應用生技,304789,2771463
尚懋生醫股份有限公司,86745325,李守文,臺北市士林區承德路4段222號6樓,02-8861-3885,應用生技,302603,2775677
永樂活生技股份有限公司,52884679,林昇永,臺北市內湖區行愛路77巷63號3樓,02-8791-7913,應用生技,308816,2772942
醫流體股份有限公司,82876681,李文斌,臺北市南港區三重里園區街3號17樓,0919-763-876,醫療器材產業,311745,2772394
智德萬生醫科技股份有限公司,89114049,郭萬祐,臺北市北投區裕民六路1號7樓,02-2826-7169,醫療器材產業,302107,2778445
牛耳國際生技股份有限公司,53765237,蔡朝正,臺北市中山區林森北路554號8樓,02-7713-6358,應用生技,303021,2772989
保康特生物科技股份有限公司,42989436,葛均,臺北市內湖區港墘路185號6樓之1,02-26578-809,應用生技,307996,2774311
澤和科技股份有限公司,53766806,詹允豪,臺北市內湖區新湖二路26號6樓,02-2795-5856,醫療器材產業,308033,2772637
愛視樂股份有限公司,90286511,胡弘毅,臺北市南港區園區街3之1號4樓,02-2655-7518,醫療器材產業,311731,2772315
艾慕思生物科技股份有限公司,12669816,李金華,臺北市內湖區洲子街46號6樓,02-2657-3636,醫療器材產業,307824,2774630
昱星生物科技股份有限公司,52485407,張郁芬,臺北市南港區研究院路1段130巷99號C棟5樓,02-2783-5860,醫療器材產業,311800,2771350
成富生物科技股份有限公司,28464178,林維亞,臺北市內湖區堤頂大道2段15號5樓之1,02-8751-1388,應用生技,307699,2774272
神經元科技股份有限公司,52289539,楊鈞程,臺北市大安區忠孝東路4段320號2樓,02-7711-8828,醫療器材產業,306238,2770449
友德國際股份有限公司,12682542,石朝楨,臺北市內湖區瑞湖街103號6樓,02-2799-3339,醫療器材產業,308133,2773950
伍騏生科有限公司,16584579,蘇正義,臺北市內湖區成功路5段460號15樓之1,02-2633-1394,應用生技,311186,2774110
家誠全球數位醫材股份有限公司,24654177,蔡幸君,臺北市信義區忠孝東路5段1之10號3樓,04-2261-5197；02-2619-3677,醫療器材產業,307037,2770470
捷醫國際生物科技股份有限公司,54139277,卓煜騰,臺北市內湖區行善路353號7樓,02-2727-9535,應用生技,309066,2772909
康統醫學科技股份有限公司,82822428,廖威宣,臺北市中正區北平東路16號8樓,02-3322-1842,醫療器材產業,302937,2770976
豐利國際股份有限公司,12939473,羅思綺,臺北市內湖區內湖路1段300號7樓,049-2257-017,醫療器材產業,307373,2774954
赭石生醫有限公司,90531036,呂采修,臺北市南港區研究院路1段130巷99號C棟4樓,02-2783-5616,製藥產業,311800,2771350
利像科技股份有限公司,90443293,張文正,臺北市中正區重慶南路1段10號5樓之1,02-2732-0020,醫療器材產業,301777,2771036
愛思分析儀器股份有限公司,90875860,陳仲瑄,臺北市南港區研究院路一段130巷99號C324室,02-2785-5520,應用生技,311800,2771350
全心醫藥生技股份有限公司,82948968,周慧泉,臺北市南港區忠孝東路7段508號9樓之1,02-2627-2707,製藥產業,311506,2771689
美奇生技國際有限公司,80196532,李彩蓮,臺北市大同區寧夏路17之2號2樓,02-2559-6728,應用生技,301969,2771961
華莘生醫科技股份有限公司,29046906,張俊毅,臺北市內湖區陽光街345巷8號2樓,02-2659-9592,醫療器材產業,308295,2773960
台灣安斯泰來製藥股份有限公司,11919506,Siew Eng Ng,臺北市中山區民生東路3段10號5樓,02-2507-5799,製藥產業,304324,2772267
穎奕生醫科技股份有限公司,25121537,陳貴美,臺北市松山區復興北路181號3樓之3,02-2547-2509,應用生技,304920,2771952
台灣外泌體生物技術股份有限公司,97609993,曾偉彰,臺北市南港區園區街3號14樓之3,02-2655-8781,製藥產業,311745,2772394
昱君生技股份有限公司,89192889,林昱銘,臺北市南港區忠孝東路7段510號9樓,02-2695-1268,應用生技,311585,2771702
均泰生物科技股份有限公司,28679071,彭英哲,臺北市內湖區湖元里新湖二路168號4樓,02-2736-5679,應用生技,308498,2772886
荷商葛蘭素史克藥廠股份有限公司台灣分公司,86927438,思泰廉GuyMickleStanley,臺北市中正區忠孝西路1段66號23-24樓,02-2381-8866,製藥產業,301996,2770997
維州生物科技股份有限公司,16131133,柯光達,臺北市內湖區瑞光路258巷2號3樓,02-2657-5399,應用生技,308052,2774220
振芳股份有限公司,03341208,許江秀琴,臺北市中正區新生南路1段116號3樓,02-2341-5137,應用生技,303739,2770216
太暘科技國際股份有限公司,43859045,黃連福,臺北市信義區忠孝東路5段1之8號11樓,02-2695-7733,醫療器材產業,307030,2770470
中化銀髮事業股份有限公司,27979276,王謝怡貞,臺北市中正區襄陽路23號10樓,02-2797-0880,醫療器材產業,301992,2770694
會昌實業股份有限公司,04208143,孫翁泰,臺北市中山區天祥路59號9樓,02-2585-5777 02-2795-5856,應用生技,302551,2772888
睿健邦生醫股份有限公司,50775507,許涵傑,臺北市南港區園區街3之2號10樓,02-2775-1140,醫療器材產業,311739,2772221
聯亞國際股份有限公司,84758529,楊宏培,臺北市內湖區洲子街52號7樓,02-8797-1975,醫療器材產業,307816,2774662
惠健生技股份有限公司,27576652,詹舒帆,臺北市內湖區陽光街321巷56號2樓之2,02-2656-0358,應用生技,308299,2773836
諭泰生物技術股份有限公司,89183191,王克舜,臺北市南港區研究院路1段130巷99號C棟3樓,02-2653-8685,應用生技,311800,2771350
醫創科技股份有限公司,52203456,吳宏基,臺北市松山區八德路二段441號9樓,02-2751-9208,醫療器材產業,305198,2771240
實漪生醫股份有限公司,83501515,蔡孟哲,臺北市北投區承德路6段120號14樓,02-2755-4881,應用生技,301690,2777351
和杏實業股份有限公司,20904223,張家瑜,臺北市北投區承德路6段120號14樓,02-2755-4881,應用生技,301690,2777351
友源生技醫藥股份有限公司,94175988,蔡正弘,臺北市北投區承德路6段120號14樓,02-2755-4881,應用生技,301690,2777351
奕心生醫科技股份有限公司,89166995,林旭信,臺北市內湖區舊宗路一段159號6樓,尚無資料,應用生技,308381,2772702
瑞光醫務管理顧問股份有限公司,50875528,陳瑞聰,臺北市內湖區瑞光路581之1號,02-8797-8588,醫療器材產業,307282,2774738
惠家智醫股份有限公司,91039503,蔡惠銘,臺北市內湖區新湖三路280號3樓,02-2790-2639,應用生技,308655,2773209
台灣中外製藥股份有限公司,23060795,岡本崇,臺北市松山區敦化北路260號3樓,02-2715-2000,應用生技,305495,2772641
公源藥品股份有限公司,33232699,周芸,臺北市大安區敦化南路2段128號14樓之3,02-2702-8171,製藥產業,305342,2768780
康定股份有限公司,01456077,郭義松,臺北市南港區園區街3號9樓之1,02-2918-1266 02-2568-1380,醫療器材產業,311745,2772394
百力生物科技股份有限公司,12693549,黃正烜,臺北市南港區園區街3號12樓之1,02-2785-8975,應用生技,311745,2772394
精準生技股份有限公司,55747592,蔡明功,臺北市南港區忠孝東路7段508號16樓之2,02-8521-0148,應用生技,311506,2771689
奐和國際股份有限公司,25150899,陳子堅,臺北市南港區重陽路202號7樓,02-2788-3922,醫療器材產業,310853,2772275
健康聯網資訊服務股份有限公司,66597971,徐克宇,臺北市大安區仁愛路3段26號5樓,02-2559-2777,應用生技,304062,2770055
多得麗富股份有限公司,84742479,孫文崇,臺北市松山區南京東路3段287號7樓,02-7707-3711；02-2797-3898,應用生技,305106,2771648
賽昂生醫股份有限公司,83469938,高安佩,臺北市南港區園區街3號17樓,02-2938-3077,製藥產業,311745,2772394
醫守科技股份有限公司,85127486,龍安靖,臺北市松山區復興北路201號4樓,02-7728-9236,醫療器材產業,304921,2772056
天慶醫療儀器股份有限公司,23628969,萬群投資股份有限公司,臺北市大安區新生南路1段97巷19號2樓,02-2775-1140；02-2795-1777,醫療器材產業,304042,2770451
法信諾生醫股份有限公司,83702127,張嘉銘,臺北市南港區研究院路1段130巷99號4樓,02-2789-1800,製藥產業,311800,2771350
精拓生技股份有限公司,50902715,陳柏翰,臺北市內湖區瑞光路258巷56號3樓之2,02-2732-2701,應用生技,307960,2774135
沐恩生醫光電股份有限公司,54368209,王宇晨,臺北市中山區松江路76號9樓,02-2655-2866,應用生技,303757,2771382
美商宇心生醫股份有限公司,24796400,張瑞中,臺北市中正區忠孝東路1段9號6樓,02-2395-7378,醫療器材產業,302841,2770857
奈捷生物科技股份有限公司,42870303,鍾尊智,臺北市南港區研究院路1段130巷99號3樓,02-2653-8655,醫療器材產業,311800,2771350
億觀生物科技股份有限公司,54009680,林書聖,臺北市大安區羅斯福路3段171號11樓之1,02-2368-5358,醫療器材產業,303256,2768253
群智基因股份有限公司,24738866,蘇怡寧,臺北市內湖區瑞光路607號8樓,02-2382-6615,應用生技,307180,2774779
互宜投資股份有限公司,79988992,劉志平,臺北市內湖區港墘路183號12樓,02-2659-7888,醫療器材產業,308001,2774318
漢旭股份有限公司,22049169,張維中,臺北市內湖區內湖路1段324號7樓,02-7745-5399,製藥產業,307495,2774939
予宇生技股份有限公司,85068579,蔡翠敏,臺北市信義區忠孝東路5段669號6樓,02-2367-6828,製藥產業,308488,2770561
銘崎生物科技股份有限公司,22654448,樓蘭君,臺北市大安區市民大道4段100號15樓,05-557-6060,應用生技,305485,2770812
中央醫療器材股份有限公司,22343374,林聖富,臺北市內湖區瑞光路298號3樓,02-2788-5365,醫療器材產業,307966,2774362
惠生研生物科技股份有限公司,27319922,蔡可羣,臺北市南港區忠孝東路7段508號8樓之3,02-2511-1122,應用生技,311506,2771689
璟明實業股份有限公司,12353464,陳濱,臺北市大同區民權西路106號7樓,02-2553-1456,醫療器材產業,302192,2772825
連法國際實業股份有限公司,86525976,許學仁,臺北市中山區中山北路2段112號14樓之2,02-2523-3939,應用生技,302740,2772600
瑞盛醫學科技股份有限公司,80692069,劉志平,臺北市內湖區港墘路189號12樓,02-2659-7888,醫療器材產業,307985,2774296
米飛生醫股份有限公司,53348368,曾義翔,臺北市中山區八德路2段298號3樓,02-2776-6899,醫療器材產業,304703,2771094
大象生技有限公司,25133668,韓怡庭,臺北市內湖區新湖二路50號8樓,02-2545-5673,應用生技,308098,2772666
寶健科技股份有限公司,86024065,吳容珠,臺北市信義區東興路49號9樓,02-2218-0865,醫療器材產業,307195,2771218
京都念慈菴藥廠股份有限公司,18770304,謝國昌,臺北市萬華區環河南路2段282號,03-328-2931,應用生技,299551,2769424
新嘉瑜股份有限公司,82880469,李卿瑜,臺北市內湖區舊宗路2段181巷6號3樓,02-2378-0818,醫療器材產業,307996,2773836
台灣英飛特股份有限公司,80528639,吳永昌,臺北市內湖區洲子街73號10樓之2,02-2658-2639,醫療器材產業,307678,2774744
台灣武田藥品工業股份有限公司,03564609,浅野元,臺北市信義區松高路1號17樓,02-8729-9050 02-2659-9355,製藥產業,306908,2770277
台灣田邊製藥股份有限公司,11920905,柿木文雄,臺北市南港區市民大道七段８號１４樓之１,02-2651-8288,製藥產業,308586,2771350
加特福生物科技股份有限公司,70384367,程伶輝,臺北市中山區松江路75之1號10樓,02-2518-9908,應用生技,303799,2771387
台灣塩野義製藥股份有限公司,11921708,富山正樹,臺北市中山區南京東路2段2號4樓,02-2551-6336,製藥產業,303293,2771629
貝克生醫股份有限公司,42863324,吳信億,臺北市信義區松德路10號6樓,02-2247-3394,醫療器材產業,308267,2770280
禾氧生技股份有限公司,97241429,巫堂明,臺北市中正區忠孝東路2段60號,02-3322-5201 / 02-3343-5050,應用生技,303330,2770677
來富可得生物科技股份有限公司,52615491,董久源,臺北市內湖區堤頂大道2段181號5樓,02-2659-5275,應用生技,307498,2774468
科邁基因科技股份有限公司,52249538,朱佩文,臺北市松山區南京東路4段1號11樓,02-2365-3210,應用生技,305458,2771641
台灣默克股份有限公司,23526610,李俊隆,臺北市南港區經貿二路121號20樓,02-2162-1111,製藥產業,312387,2772496
十藝生技股份有限公司,53091057,宋又時,臺北市內湖區瑞光路550號7樓,02-2627-0630,應用生技,307209,2774726
麥迪斯生物科技股份有限公司,55622501,許順傑,臺北市內湖區新湖一路71號3樓,02-7713-8000,醫療器材產業,308023,2772339
鼎眾股份有限公司,12520441,江春松,臺北市中山區中山北路2段185號6樓B室,03-328-9140 02-2755-4445,醫療器材產業,302724,2772952
台灣雀巢股份有限公司奈斯派索分公司,20683002,羅台青,臺北市內湖區瑞光路399號8樓及8樓之1,02-2773-9910,應用生技,307766,2774502
宏智生醫科技股份有限公司,82799334,彭聖華,臺北市內湖區瑞光路581之1號,02-8797-8060,醫療器材產業,307282,2774738
映通股份有限公司,23435597,王自軍,臺北市南港區研究院路1段130巷99號,02-2999-7193,醫療器材產業,311800,2771350
明基口腔醫材股份有限公司,54648602,管新寶,臺北市內湖區洲子街52號7樓,02-8797-5966,醫療器材產業,307816,2774662
威茂股份有限公司,12966029,陳富鈐,臺北市南港區園區街3號10樓之5,02-2655-7868；02-2655-7918,醫療器材產業,311745,2772394
揚生生化科技股份有限公司,13132659,許正郎,臺北市中山區中山北路3段49號3樓,02-2531-2016,應用生技,302732,2773294
精睿醫藥科技股份有限公司,85117044,簡督憲,臺北市南港區三重路66號11樓之3,02-2789-1060,應用生技,311990,2772260
醫睿醫藥科技股份有限公司,24471466,簡督憲,臺北市南港區三重路66號7樓之5,02-2789-1060；02-2739-2222,應用生技,311990,2772260
寰宇生物科技股份有限公司,12867415,曾國棠,臺北市南港區園區街3號10樓之2,02-2783-5000,應用生技,311745,2772394
泛泰醫療產品股份有限公司,27554334,詹青柳,臺北市南港區園區街3號13樓之5,02-2712-6811,製藥產業,311745,2772394
承詠生技股份有限公司,90611636,林柏瑾,臺北市內湖區瑞光路288號2樓,02-2657-2968,應用生技,308022,2774325
明欣生物科技股份有限公司,16318279,趙秀琦,臺北市南港區園區街3號10樓之3,02-2655-7528,應用生技,311745,2772394
得勝醫學科技股份有限公司,82833874,黃昭媛,臺北市南港區研究院路1段130巷99號2樓,02-2391-2180,製藥產業,311800,2771350
慧德科技股份有限公司,54166891,趙中理,臺北市中山區建國北路1段148號6樓,02-2500-0662,醫療器材產業,304122,2771567
和強股份有限公司,22156982,蔡正弘,臺北市北投區承德路6段120號14樓,02-2755-4881,應用生技,301690,2777351
博宣寧股份有限公司,16622840,鄧林雪輝,臺北市內湖區瑞光路358巷30弄8號3樓之1,02-87977755,醫療器材產業,307771,2774342
福智美科技股份有限公司,53563865,汪鼎華,臺北市內湖區瑞光路358巷30弄8號4樓,02-8792-0908,醫療器材產業,307771,2774342
三多士股份有限公司,12197725,吳昭雄,臺北市大安區四維路208巷3之1號1樓,02-2708-0888,應用生技,305261,2768814
智準生醫科技股份有限公司,50760933,謝志鴻,臺北市松山區南京東路4段1號2樓,03-567-8520,醫療器材產業,305458,2771641
瑞磁生物科技股份有限公司,42830582,李家榮,臺北市內湖區行忠路28巷1號6樓,02-8791-6833,醫療器材產業,308295,2773094
新加坡商視亨光學鏡片股份有限公司台灣分公司,53664688,沈鼎鈞,臺北市內湖區瑞光路188巷51號2樓,02-2657-9299,醫療器材產業,308125,2774079
台灣阿斯特捷利康股份有限公司,16440975,龍雲合,臺北市大安區敦化南路二段207號21樓,02-2378-2390,製藥產業,305431,2768771
誼澤股份有限公司,12458185,蔡正弘,臺北市北投區承德路6段120號14樓,02-2755-4881,應用生技,301690,2777351
銳準生醫股份有限公司,82941917,許承先,臺北市北投區承德路7段348號5樓,02-7730-2526,應用生技,300829,2778905
上頂醫學影像科技股份有限公司,55749867,曾文毅,臺北市中山區中山北路2段102號7樓,02-2571-0934,醫療器材產業,302738,2772533
宜春企業股份有限公司,86151287,吳廷財,臺北市內湖區港墘里洲子街101、103號5樓,02-2719-6088,醫療器材產業,307488,2774844
佐藤製藥股份有限公司,22662828,石原克志,臺北市信義區基隆路1段333號4樓,03-597-9814,製藥產業,306623,2769689
台灣奇士美化粧品股份有限公司,43431303,李永章,臺北市中山區松江路328號3樓,02-2563-6251,應用生技,303772,2772639
錦鴻生技國際股份有限公司,70381827,周丹薇,臺北市大安區大安路二段132巷30號6樓,02-2701-9153,應用生技,304942,2769200
慶生健康管理顧問股份有限公司,55705919,汪佳坤,臺北市內湖區陽光街321巷56號2樓之3,02-2657-6001,醫療器材產業,308299,2773836
九和科技股份有限公司,28005934,李沛霖,臺北市內湖區行愛路88號6樓,02-6608-1999,應用生技,308611,2772853
兆鴻生技股份有限公司,25128877,徐登賢,臺北市內湖區洲子街61號5樓,02-2658-8776,應用生技,307796,2774702
帝歐科技股份有限公司,54169399,李炳日,臺北市中山區南京東路二段96號9樓,02-8752-3319,醫療器材產業,303613,2771626
嬌生股份有限公司,30814854,田中美由紀-MiyukiTanaka,臺北市中山區民生東路3段2號10、11樓,02-2593-9888,應用生技,304224,2772275
台灣札幌藥粧有限公司,52893017,高田裕,臺北市內湖區港墘路185號2樓,02-77116616,應用生技,307996,2774311
微體生物醫學股份有限公司,55623255,李亦書,臺北市南港區研究院路一段130巷99號 C棟6樓614室,02-2697-6509,應用生技,311800,2771350
生脈生物科技股份有限公司,24747226,許中強,臺北市大安區敦化南路2段97號2樓M02室,02-2658-7080,製藥產業,305422,2769092
碩準生技股份有限公司,90663465,呂韻綺,臺北市南港區園區街3號17樓,07-311-1577,製藥產業,311745,2772394
諾倫科技股份有限公司,83761687,黃元孝,臺北市南港區研究院路1段130巷99號,02-7752-3723,應用生技,311800,2771350
明基健康生活股份有限公司,52687620,楊宏培,臺北市內湖區港墘里洲子街48號7樓,02-2393-1218,醫療器材產業,307833,2774655
普元生技股份有限公司,53083731,賴家德,臺北市內湖區基湖路35巷49號4F之1,02-2627-0630,醫療器材產業,307146,2774694
勁捷生物科技股份有限公司,53548210,王勝興,臺北市內湖區行愛路77巷56號3樓,02-8792-9762,醫療器材產業,308812,2772971
醫盟科技股份有限公司,24975749,羅文甫,臺北市中山區南京東路2段206號12樓之2,02-2567-2959,醫療器材產業,304066,2771624
實璒醫藥生技股份有限公司,89169487,王昱鈞,臺北市南港區園區街3號12樓之2,02-2655-8818,應用生技,311745,2772394
惠民製藥股份有限公司,11653105,葉達雄,臺北市中山區吉林路98巷3號1樓,02-2522-3104,製藥產業,303437,2771715
英屬開曼群島商先知生物科技股份有限公司台灣分公司,85070076,簡督憲,臺北市內湖區瑞光路358巷30弄3號7樓,02-7728-8922,應用生技,307765,2774381
聯邦化學製藥股份有限公司,33744404,盛保熙,臺北市內湖區瑞光路26巷36弄2號5樓,02-8792-2928,製藥產業,308737,2773545
台灣諾華股份有限公司,01516589,尹旭東,臺北市中山區民生東路3段2號8樓,02-2322-7777,製藥產業,304224,2772275
矽基分子電測科技股份有限公司,24565175,林銘洲,臺北市南港區研究院路1段130巷99號C棟4樓,02-2783-5173,醫療器材產業,311800,2771350
愛德士生物科技股份有限公司,16082338,Lily Joann Lu,臺北市內湖區瑞湖街88號6樓之1,02-6603-9728,應用生技,308111,2773912
上毅生物科技股份有限公司,52278884,吳忠勳,臺北市內湖區內湖路1段308號6樓之1,02-2657-9668,製藥產業,307400,2774918
中華生物科技股份有限公司,70548544,李壯源,臺北市松山區民族東路683號之1（1樓）,02-2718-9388,應用生技,305291,2772943
台灣高絲股份有限公司,47315071,石川茂樹,臺北市信義區基隆路1段200號12樓,02-8786-3668,應用生技,306867,2770357
博唯弘展生技股份有限公司,53958190,李卿瑜,臺北市大安區信義路4段341號6樓之1,02-2378-8930,醫療器材產業,306179,2769581
盈盈生技製藥股份有限公司,80259156,陳淑華,臺北市中山區松江路158號4樓,02-2672-6032,製藥產業,303764,2771973
養樂多股份有限公司,03581305,李道明,臺北市中山區松江路261號3樓,02-2505-4325,應用生技,303813,2772498
雷文虎克生物技術股份有限公司,91078929,翁素蕙,臺北市大安區忠孝東路4段30號10樓,02-2377-2318,應用生技,304948,2770474
台灣植物外泌體股份有限公司,83018596,莊銀清,臺北市南港區園區街3號14樓之3,02-2655-8781,製藥產業,311745,2772394
新鈺生技股份有限公司,22357854,李培民,臺北市內湖區瑞光路360號6樓,02-8751-6060,應用生技,307742,2774456
台灣大正製藥股份有限公司,33039603,菅野直亮,臺北市大同區長安西路180號4樓之1,02-2558-1208,製藥產業,302051,2771534
永加利醫學科技股份有限公司,53752937,瞿志豪,臺北市內湖區文湖路80號3樓,02-2657-2369,醫療器材產業,306985,2775463
帝勝生技股份有限公司,43889723,蔡宗勲,臺北市內湖區瑞光路408號10樓之5,02-2727-7347,應用生技,307552,2774550
恩揚生物科技股份有限公司,53646182,劉文煌,臺北市內湖區內湖路1段318號8樓,02-2708-1337,應用生技,307468,2774948
優活健康生技股份有限公司,50791627,郭士賢,臺北市內湖區瑞光路408號10樓之5,02-8797-7607,應用生技,307552,2774550
華生水資源生技股份有限公司,86367821,胡端圓,臺北市內湖區行忠路66巷2號1樓,02-2882-2212,應用生技,308527,2773239
新析生物科技股份有限公司,83747026,廖仲麒,臺北市南港區研究院路1段130巷99號C棟5樓,02-2785-6780,醫療器材產業,311800,2771350
神瑞人工智慧股份有限公司,94243590,錢美娟,臺北市南港區三重路19之13號4樓,02-2655-2255,醫療器材產業,311871,2772403
台灣外泌體股份有限公司,91043035,洪奇昌,臺北市南港區園區街3號14樓之3,02-2655-8781,製藥產業,311745,2772394
準訊生醫股份有限公司,54621478,李慈雅,臺北市松山區八德路4段760號6樓,02-2761-2577,醫療器材產業,308437,2771457
智必立國際生醫科技股份有限公司,90138266,李慧芳,臺北市信義區松高路9號27樓,02-2732-2734,醫療器材產業,307021,2770273
台灣共振波研發股份有限公司,24454234,許明慧,臺北市中山區南京東路2段72號11樓之1,02-2521-6333,應用生技,303536,2771627
台建生技股份有限公司,42864317,邱妙齡,臺北市中山區南京東路三段201號8樓之2,02-2715-0751,應用生技,304740,2771657
沃醫學股份有限公司,53112047,巫宣霆,臺北市內湖區堤頂大道1段33號三樓,02-8797-3199,醫療器材產業,307911,2772240
華楷生醫科技股份有限公司,53349129,方頌和,臺北市內湖區港墘里瑞光路四四三號八樓,02-8797-1288,醫療器材產業,307596,2774636
慧誠智醫股份有限公司,42856576,余金樹,臺北市內湖區瑞光路335號10樓之4,02-2252-3030,醫療器材產業,308012,2774271
心誠鎂行動醫電股份有限公司,24754176,鄭傑升,臺北市大安區敦化南路二段319號10樓,02-2732-6596,醫療器材產業,305432,2768425
大江生活股份有限公司,27528961,林詠翔,臺北市內湖區港墘路185號10樓,02-8797-7811,醫療器材產業,307996,2774311
昌達生化科技股份有限公司,80524351,簡銘達,臺北市南港區三園區街3號12樓,02-2655-7555；02-2655-7568,應用生技,311745,2772394
蘭亭生物科技股份有限公司,53680569,呂金燕,臺北市內湖區行愛路77巷33號5樓,02-8792-8931,應用生技,308750,2772889
奔騰智慧生醫股份有限公司,82815411,陳瑞聰,臺北市內湖區瑞光路581之1號,03-582-0446,醫療器材產業,307282,2774738
馬雅資訊股份有限公司,80265495,陳博揚,臺北市松山區南京東路4段50號5樓之2,02-2579-0838,醫療器材產業,305844,2771590
凱圖國際股份有限公司,28199256,陳明正,臺北市內湖區基湖路18號9樓,02-2659-0500,醫療器材產業,306974,2774881
尚典生技股份有限公司,86490195,謝偉斌,臺北市南港區園區街3號16樓之5,02-2655-8298,應用生技,311745,2772394
業生科技股份有限公司,42819545,陳政璉,臺北市內湖區行忠路42號6樓,02-27885695,應用生技,308291,2773138
麗瑞嘉生技股份有限公司,82908939,羅麗芬,臺北市大安區忠孝東路四段219號8樓,02-2771-1070,應用生技,305752,2770506
妮傲絲翠股份有限公司,84473241,張裕彬,臺北市內湖區行忠路58號5樓,02-8791-7778,醫療器材產業,308469,2773223
台灣大塚製藥股份有限公司,14001297,許信義,臺北市中山區復興北路378號11樓,02-2505-2868,製藥產業,304873,2772629
台灣必治妥施貴寶股份有限公司,11922609,谷依凡,臺北市松山區健康路156號4樓、5樓,02-2756-1234,製藥產業,306244,2771817
英屬維京群島商禾寶醫療器材股份有限公司,42963610,馮田芬,臺北市內湖區內湖路一段68號2樓,02-66066688,醫療器材產業,306734,2775157
仙豐股份有限公司,23415179,謝振鋒,臺北市松山區延壽街347號,02-2746-6331；02-2796-0803,製藥產業,306429,2772173
寶楠生技股份有限公司,09479382,葉安時,臺北市內湖區瑞光路258巷50號3樓,02-2627-4366,醫療器材產業,307996,2774170
欣大首美達股份有限公司,90551834,李沛霖,臺北市內湖區民權東路6段15巷16號4樓之3,02-6608-1999,醫療器材產業,308399,2773451
拓華生技股份有限公司,53772976,張祐齊,臺北市中山區中山北路1段53巷20號2樓,02-2393-8011,應用生技,302759,2771299
豐技生物科技股份有限公司,86704393,戴國銧,臺北市中正區紹興北街5號5樓之1,02-2351-9800,應用生技,303006,2770843
蓋德科技股份有限公司,28712178,陳怡君,臺北市南港區經貿二路197號4樓,02-2728-1155,醫療器材產業,312105,2772625
台灣禮來股份有限公司,43430803,殷其隆,臺北市松山區復興北路365號11樓,02-2715-2950,製藥產業,304930,2772646
美商亞培股份有限公司台灣分公司,30961216,JanaApostolovaMihaylova,臺北市中山區民生東路3段51號6樓及49號5樓、6樓,02-2505-0828,醫療器材產業,304515,2772319
衛采製藥股份有限公司,89283375,曾志揚,臺北市中山區松江路106號8樓,02-2531-4175,製藥產業,303751,2771547
台灣諾保科股份有限公司,29032797,石傑仁,臺北市內湖區瑞光路68號5樓,02-2793-9933,醫療器材產業,308710,2773742
樂活生技開發股份有限公司,53102126,李開天,臺北市內湖區陽光街300號7樓之2,02-2799-3222,應用生技,307980,2773973
信維生物科技股份有限公司,80198074,林國常,臺北市內湖區行忠路57號5樓,02-8792-1107,應用生技,308259,2773164
發礮成生物科技股份有限公司,13122940,張正民,臺北市松山區八德路4段678號5樓,02-2653-9797,製藥產業,308161,2771425
德田農業生技股份有限公司,42631367,李森田,臺北市內湖區瑞光路258巷2號7樓,02-2658-8599,應用生技,308052,2774220
銀泰佶聯合生技股份有限公司,29072994,許瑜芷,臺北市中山區南京東路2段137號14樓,02-2627-7388,應用生技,303992,2771668
台灣大昌華嘉股份有限公司,70824858,鑫必傑-Bijay Veer Singh,臺北市內湖區堤頂大道2段407巷20弄1、3、5、7號10樓，及407巷22、24、26號10樓及407巷22號10樓之1,02-8752-7626,應用生技,306838,2774878
