序號,縣市,行政區,郵遞區號,課照中心代碼,課照中心名稱,地址,許可證日期,營業狀態,設立別,電話,負責人,立案狀態,核定人數【人】
128,臺北市,士林區,111,AS11100016,臺北市私立久久兒童課後照顧服務中心,臺北市士林區士東路46巷20號1樓,2013/11/21,正常營運,私立-私人,(02)2833-9998、2831-4886,杜思瑩,立案,21
129,臺北市,士林區,111,AS11100017,臺北市私立何嘉仁天母兒童課後照顧服務中心,臺北市士林區中山北路6段748號、750號2-3樓,2013/12/10,已歇業(主管機關應廢止其原設立許可),私立-私人,2873-9177,林福來,立案,55
130,臺北市,士林區,111,AS11100018,臺北市私立全盛兒童課後照顧服務中心,臺北市士林區延平北路5段269號2樓、271號2樓,2016/6/4,正常營運,私立-私人,(02)2816-9457,陳淑華,立案,40
131,臺北市,士林區,111,AS11100019,臺北市私立吉尼斯兒童課後照顧服務中心,臺北市士林區德行東路280號2樓,2017/6/9,正常營運,私立-私人,0921-977-164,連玉潔,立案,40
132,臺北市,士林區,111,AS11100020,臺北市私立三加三兒童課後照顧服務中心,臺北市士林區中正路324號2樓,2017/11/6,正常營運,私立-私人,(02)2832-2578,沈瑞香,立案,20
133,臺北市,士林區,111,AS11100021,臺北市私立啟揚兒童課後照顧服務中心,忠義街94號1樓,2018/6/12,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)-8371188,張哲凱,立案,31
134,臺北市,士林區,111,AS11100022,臺北市私立瑞比特兒童課後照顧服務中心,臺北市士林區社子街63巷8號2樓,2022/5/25,正常營運,私立-私人,(02)-88111398,余明德,立案,25
135,臺北市,士林區,111,AS11100023,臺北市私立思文兒童課後照顧服務中心,臺北市士林區福港街158號2樓,2023/11/21,正常營運,私立-私人,(02)-28882210,唐珮珊,立案,38
136,臺北市,士林區,111,AS11100024,臺北市私立劍橋卓越兒童課後照顧服務中心,臺北市士林區通河街40號2樓,2024/5/22,正常營運,私立-私人,(02)-28850717,鍾世豪,立案,29
137,臺北市,北投區,112,AS11200001,臺北市私立新世界兒童課後照顧服務中心,臺北市北投區中央北路4段530號2樓、532號2樓、532號2樓等共有部份、536號2樓,2013/5/12,正常營運,私立-私人,(02)2893-0011,倪元至,立案,182
138,臺北市,北投區,112,AS11200002,臺北市私立道思天母兒童課後照顧服務中心,臺北市北投區石牌路2段361號2、3、4樓,2013/5/31,正常營運,私立-私人,(02)2877-1577,周慧芬,立案,180
139,臺北市,北投區,112,AS11200004,臺北市私立美地兒童課後照顧服務中心,臺北市北投區榮華三路3號1樓,2013/8/15,正常營運,私立-私人,(02)2827-7501,王聖建,立案,29
140,臺北市,北投區,112,AS11200005,臺北市私立牛爾兒童課後照顧服務中心,臺北市北投區中央北路4段553號1、2樓,2013/8/15,正常營運,私立-私人,(02)2895-2811,李振全,立案,47
141,臺北市,北投區,112,AS11200006,臺北市私立牛耳兒童課後照顧服務中心,臺北市北投區中央北路4段557號、559號1樓,2013/9/6,已歇業(主管機關應廢止其原設立許可),私立-私人,28952851,林鴻敏,立案,30
142,臺北市,北投區,112,AS11200007,臺北市私立史丹佛兒童課後照顧服務中心,臺北市北投區公館路215號1樓,2013/10/4,已歇業(主管機關應廢止其原設立許可),私立-私人,2895-3236,楊日暖,立案,33
143,臺北市,北投區,112,AS11200008,臺北市私立潘老師兒童課後照顧服務中心,臺北市北投區中央北路2段101號1樓,2013/10/18,已歇業(主管機關應廢止其原設立許可),私立-私人,2896-5030,潘盈潔,立案,15
144,臺北市,北投區,112,AS11200010,臺北市私立世馨兒童課後照顧服務中心,臺北市北投區致遠一路1段11巷1號1樓,2013/11/11,已歇業(主管機關應廢止其原設立許可),私立-私人,2820-2890,許世哲,立案,57
145,臺北市,北投區,112,AS11200011,臺北市私立何嘉仁石牌兒童課後照顧服務中心,臺北市北投區石牌路1段28號2、3樓,2013/11/25,正常營運,私立-私人,(02)2823-4581,林福來,立案,56
146,臺北市,北投區,112,AS11200012,臺北市私立旭東兒童課後照顧服務中心,臺北市北投區石牌路1段71巷17號、19號1樓,2013/6/26,已歇業(主管機關應廢止其原設立許可),私立-私人,2828-9810、2827-2210,張永譓,立案,28
147,臺北市,北投區,112,AS11200013,臺北市私立資優兒童課後照顧服務中心,臺北市北投區中央北路1段179巷3號、5號1樓,2013/10/30,正常營運,私立-私人,(02)2894-9838,孟誠信,立案,34
148,臺北市,北投區,112,AS11200014,臺北市私立文化學園兒童課後照顧服務中心,臺北市北投區中央北路1段179巷8號1樓,2013/11/1,已歇業(主管機關應廢止其原設立許可),私立-私人,2897-9055,吳小芳,立案,32
149,臺北市,北投區,112,AS11200015,臺北市私立奧溫兒童課後照顧服務中心,臺北市北投區中央北路4段551號1樓、2樓,2021/5/4,正常營運,私立-私人,(02)2894-8191,林祐生,立案,30
150,臺北市,北投區,112,AS11200016,城市教育事業有限公司附設臺北市私立城市兒童課後照顧服務中心,臺北市北投區學園路2號(臺北城市科技大學愛園大樓3樓),2022/7/22,正常營運,私立-私人,(02)-2895-0530,城市教育事業有限公司(負責人：李洹萱),立案,116
151,臺北市,內湖區,114,AS11400001,臺北市私立向日葵兒童課後照顧服務中心,臺北市內湖區內湖路1段737巷51弄32號1樓,2013/10/25,已歇業(主管機關應廢止其原設立許可),私立-私人,2799-0147,江毓玲,立案,20
152,臺北市,內湖區,114,AS11400002,臺北市私立青青園地兒童課後照顧服務中心,臺北市內湖區星雲街140號1、2樓,2013/11/1,正常營運,私立-私人,(02)2793-1003,萬花娟,立案,40
153,臺北市,內湖區,114,AS11400003,臺北市私立瀚林兒童課後照顧服務中心,臺北市內湖區康寧路3段99巷12弄7號、9號1樓,2013/11/14,正常營運,私立-私人,(02)2633-2346,蔡?葳,立案,25
154,臺北市,內湖區,114,AS11400004,臺北市私立全宥兒童課後照顧服務中心,臺北市內湖區內湖路2段62號1、2樓,2013/11/1,正常營運,私立-私人,(02)2657-1566,林玉坪,立案,40
155,臺北市,內湖區,114,AS11400005,臺北市私立萊恩兒童課後照顧服務中心,臺北市內湖區東湖路6號2樓,2013/5/28,正常營運,私立-私人,(02)2632-7776,陳秋芬,立案,18
156,臺北市,內湖區,114,AS11400006,臺北市私立成功兒童課後照顧服務中心,臺北市內湖區成功路4段61巷25弄9之1號1樓,2013/10/16,正常營運,私立-私人,(02)2796-1454,江瑞蘭,立案,20
157,臺北市,內湖區,114,AS11400007,臺北市私立康樂兒童課後照顧服務中心,臺北市內湖區康樂街151巷27號3樓,2013/10/2,已歇業(主管機關應廢止其原設立許可),私立-私人,2631-8317,趙淑賢,立案,24
158,臺北市,內湖區,114,AS11400008,臺北市私立奧斯福爾兒童課後照顧服務中心,臺北市內湖區民權東路6段296巷66號1-3樓,2013/6/7,已歇業(主管機關應廢止其原設立許可),私立-私人,2634-0258,謝福堂,立案,40
159,臺北市,內湖區,114,AS11400009,臺北市私立梁蕭老師兒童課後照顧服務中心,臺北市內湖區康樂街20巷17號2樓,2013/9/25,已歇業(主管機關應廢止其原設立許可),私立-私人,2632-6097,梁麗貞,立案,30
160,臺北市,內湖區,114,AS11400010,臺北市私立來來兒童課後照顧服務中心,臺北市內湖區民權東路6段280巷52號1樓,2013/10/28,正常營運,私立-私人,(02)2632-5432,趙東瑛,立案,18
161,臺北市,內湖區,114,AS11400011,臺北市私立華盛頓兒童課後照顧服務中心,臺北市內湖區瑞光路271號3、4樓,2013/12/6,正常營運,私立-私人,(02)2657-6155,陳雅惠,立案,120
162,臺北市,內湖區,114,AS11400012,臺北市私立奧斯德爾兒童課後照顧服務中心,臺北市內湖區康寧路3段16巷51號1、2、3、4樓,2013/9/27,正常營運,私立-私人,(02)2634-0258,謝文斌,立案,300
163,臺北市,內湖區,114,AS11400013,臺北市私立新明兒童課後照顧服務中心,臺北市內湖區新明路380巷4弄6號1樓,2013/11/6,正常營運,私立-私人,(02)2794-5815,吳月雲,立案,16
164,臺北市,內湖區,114,AS11400014,臺北市私立柏克立兒童課後照顧服務中心,臺北市內湖區金湖路363巷45號3樓,2013/9/27,已歇業(主管機關應廢止其原設立許可),私立-私人,2633-3002,劉淑貞,立案,60
165,臺北市,內湖區,114,AS11400015,臺北市私立華泰兒童課後照顧服務中心,臺北市內湖區大湖山莊街21巷2號3樓,2013/8/30,正常營運,私立-私人,(02)2792-8335,王志雲,立案,50
166,臺北市,內湖區,114,AS11400016,臺北市私立道思兒童課後照顧服務中心,臺北市內湖區行善路91號1樓,2013/12/25,正常營運,私立-私人,(02)8791-6999,張中興,立案,36
167,臺北市,內湖區,114,AS11400019,吉的堡網路科技股份有限公司附設臺北市私立英格兒童課後照顧服務中心,臺北市內湖區民權東路六段180巷23號4樓、25號4樓,2014/10/31,正常營運,私立-私人,(02)2791-0819,吉的堡網路科技股份有限公司,立案,40
168,臺北市,內湖區,114,AS11400020,臺北市私立喬治亞兒童課後照顧服務中心,臺北市內湖區內湖路2段334號4樓,2016/7/18,正常營運,私立-私人,(02)2790-1110,徐淑芬,立案,126
169,臺北市,內湖區,114,AS11400021,臺北市私立智信兒童課後照顧服務中心,臺北市內湖區康寧路3段165巷14弄1號4樓,2017/3/6,正常營運,私立-私人,(02)2631-5726,陳瑞林,立案,40
170,臺北市,內湖區,114,AS11400022,臺北市私立西湖兒童課後照顧服務中心,臺北市內湖區內湖路1段575號4樓之1,2017/9/23,正常營運,私立-私人,(02)2657-3776,陳建志,立案,50
171,臺北市,內湖區,114,AS11400023,臺北市私立塞凡提夢想兒童課後照顧服務中心,臺北市內湖區康寧路3段16巷116號2樓,2019/2/11,正常營運,私立-私人,(02)2633-1633,張凱媗,立案,34
172,臺北市,內湖區,114,AS11400024,臺北市私立柏克立兒童課後照顧服務中心,臺北市內湖區金湖路363巷45號4樓,2020/7/20,正常營運,私立-私人,(02)2634-7688,許惟傑,立案,48
173,臺北市,內湖區,114,AS11400025,臺北市私立道思內湖兒童課後照顧服務中心,內湖區行善路89號2樓,2023/5/2,正常營運,私立-私人,(02)-87916999,張耀中,立案,23
174,臺北市,內湖區,114,AS11400026,臺北市私立道思行善兒童課後照顧服務中心,臺北市內湖區行善路91號2樓,2023/5/2,正常營運,私立-私人,(02)-87916999,張耀中,立案,22
175,臺北市,內湖區,114,AS11400027,芝?村投資股份有限公司附設臺北市私立壹芝?街兒童課後照顧服務中心,臺北市內湖區金湖路370號2樓,2024/3/21,正常營運,私立-私人,(02)-26305707,芝?村投資股份有限公司(公司負責人:林宗翰),立案,49
176,臺北市,南港區,115,AS11500001,臺北市私立佳立安兒童課後照顧服務中心,臺北市南港區研究院路2段35之2號1樓,2013/12/6,正常營運,私立-私人,(02)2653-6952,王雪楓,立案,23
177,臺北市,南港區,115,AS11500002,臺北市私立奇奇兒童課後照顧服務中心,臺北市南港區研究院路2段12巷14弄32號、34號1樓,2013/10/25,正常營運,私立-私人,(02)2788-7881,張志勇,立案,30
178,臺北市,南港區,115,AS11500003,臺北市私立微笑星星兒童課後照顧服務中心,臺北市南港區興中路12巷23號1樓,2013/9/30,正常營運,私立-私人,(02)2651-0883,郭啟祥,立案,53
179,臺北市,南港區,115,AS11500004,臺北市私立諾貝爾兒童課後照顧服務中心,臺北市南港區富康街23號2樓,2013/6/10,已歇業(主管機關應廢止其原設立許可),私立-私人,2651-5794,黃美華,立案,35
180,臺北市,南港區,115,AS11500005,臺北市私立學優兒童課後照顧服務中心,臺北市南港區東新街118巷17號、19號1樓,2013/5/17,正常營運,私立-私人,(02)2651-0533,胡俊芳,立案,39
181,臺北市,南港區,115,AS11500006,臺北市私立祺茂兒童課後照顧服務中心,臺北市南港區忠孝東路6段454號3樓,2013/6/25,正常營運,私立-私人,(02)2785-9905,劉玗昤,立案,17
182,臺北市,南港區,115,AS11500007,臺北市私立日欣兒童課後照顧服務中心,臺北市南港區昆陽街65號2樓,2013/7/23,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2788-9952,林貞吟,立案,19
183,臺北市,南港區,115,AS11500008,臺北市私立貝爾兒童課後照顧服務中心,臺北市南港區成福路60號2樓、60號2樓之1,2013/11/1,正常營運,私立-私人,(02)2651-9896,陳冠蓉,立案,37
184,臺北市,南港區,115,AS11500009,臺北市私立莒光兒童課後照顧服務中心,臺北市南港區研究院路2段35巷11號1、2樓,2013/10/25,正常營運,私立-私人,(02)2651-0502,黃種培,立案,40
185,臺北市,南港區,115,AS11500010,臺北市私立耕福兒童課後照顧服務中心,臺北市南港區東新街77巷19號1、2樓,2013/11/27,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2782-5161,于俊芳,立案,33
186,臺北市,南港區,115,AS11500011,臺北市私立東美兒童課後照顧服務中心,臺北市南港區興華路131號2樓,2013/9/18,正常營運,私立-私人,(02)2788-7556,斐明浩,立案,48
187,臺北市,南港區,115,AS11500012,臺北市私立何傢仁兒童課後照顧服務中心,臺北市南港區興華路12號、26號1、2、3、4樓、14號至24號3、4樓,2013/11/6,正常營運,私立-私人,(02)2789-0198,柯尹雯,立案,160
188,臺北市,南港區,115,AS11500013,財團法人天主教會台北教區附設臺北市私立萬福兒童課後照顧服務中心,臺北市南港區忠孝東路6段114之1號4樓、114號等共有部分(第4層),2021/10/15,正常營運,私立-私人,(02)2782-0258,鍾安住,立案,90
189,臺北市,文山區,116,AS11600001,臺北市私立比利馬兒童課後照顧服務中心,臺北市文山區和興路8號1樓,2013/5/29,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2236-6578,楊翔雲,立案,19
190,臺北市,文山區,116,AS11600002,臺北市私立喬安兒童課後照顧服務中心,臺北市文山區景華街176巷25弄17號1樓,2013/11/15,已歇業(主管機關應廢止其原設立許可),私立-私人,8663-6691,李燕珍,立案,34
191,臺北市,文山區,116,AS11600003,臺北市私立萬碟兒童課後照顧服務中心,臺北市文山區汀州路4段73號1樓,2013/9/18,正常營運,私立-私人,(02)2931-5952,陳淑韻,立案,16
192,臺北市,文山區,116,AS11600004,臺北市私立新馨兒童課後照顧服務中心,臺北市文山區景興路202巷14號2樓,2013/7/25,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2935-0552,吳台蘭,立案,40
193,臺北市,文山區,116,AS11600005,臺北市私立景美兒童課後照顧服務中心,臺北市文山區景興路218之1號1樓,2013/8/19,已歇業(主管機關應廢止其原設立許可),私立-私人,2930-4362,陳浩然,立案,20
194,臺北市,文山區,116,AS11600006,財團法人台北市中華基督教青年會附設臺北市私立文山兒童課後照顧服務中心,臺北市文山區和興路2號3樓,2013/7/25,正常營運,私立-團體,(02)2236-2818,賴允亮,立案,58
195,臺北市,文山區,116,AS11600007,臺北市私立巨星兒童課後照顧服務中心,臺北市文山區秀明路1段68號2樓,2022/9/12,正常營運,私立-私人,(02)2938-1987,康均瑤,立案,30
196,臺北市,文山區,116,AS11600008,臺北市私立力行兒童課後照顧服務中心,臺北市文山區木新路3段155巷3號2-3樓,2013/10/30,已歇業(主管機關應廢止其原設立許可),私立-私人,2937-3991,林宇婕,立案,25
197,臺北市,文山區,116,AS11600009,臺北市私立新生學園兒童課後照顧服務中心,臺北市文山區興隆路2段96巷2弄8號1樓,2013/9/27,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2931-5931,向育英,立案,20
198,臺北市,文山區,116,AS11600010,臺北市私立布格兒童課後照顧服務中心,臺北市文山區興隆路4段177之1號2樓,2013/11/15,正常營運,私立-私人,(02)2938-2571,羅以凌,立案,24
199,臺北市,文山區,116,AS11600011,臺北市私立三之三兒童課後照顧服務中心,臺北市文山區羅斯福路5段218巷2號、4號2樓,2013/7/31,正常營運,私立-私人,(02)2931-4041,葛惠,立案,55
200,臺北市,文山區,116,AS11600012,臺北市私立得藝兒童課後照顧服務中心,臺北市文山區興隆路3段192巷8弄36號2樓,2013/6/25,正常營運,私立-私人,(02)2230-6746,陳鳳秀,立案,17
201,臺北市,文山區,116,AS11600013,臺北市私立樂耕兒童課後照顧服務中心,臺北市文山區秀明路1段185巷20號1-2樓,2013/11/15,已歇業(主管機關應廢止其原設立許可),私立-私人,2939-1919,劉漢彬,立案,89
202,臺北市,文山區,116,AS11600014,臺北市私立三意兒童課後照顧服務中心,臺北市文山區興隆路4段105巷42號3樓,2013/9/18,正常營運,私立-私人,(02)2937-2270,蔡維隆,立案,58
203,臺北市,文山區,116,AS11600015,臺北市私立吉一兒童課後照顧服務中心,臺北市文山區景華街129號、131號2樓,2013/11/21,已歇業(主管機關應廢止其原設立許可),私立-私人,2931-1866,周一青,立案,36
204,臺北市,文山區,116,AS11600016,臺北市私立布穀鳥兒童課後照顧服務中心,臺北市文山區福興路63巷1號、3號2樓,2013/9/18,正常營運,私立-私人,(02)2933-8997、2931-9962,賴慧紋,立案,40
205,臺北市,文山區,116,AS11600017,臺北市私立清海兒童課後照顧服務中心,臺北市文山區景華街152號1樓、154號1樓,2017/12/6,正常營運,私立-私人,(02)2931-5426,吳佐仁,立案,37
206,臺北市,文山區,116,AS11600019,臺北市私立滬江高級中學附設私立滬江兒童課後照顧服務中心,臺北市文山區羅斯福路6段336號4 樓(嵩慶樓),2020/5/28,已歇業(主管機關應廢止其原設立許可),私立-團體,(02)8663-1122,臺北市私立滬江高級中學,立案,111
