序號,主管機關文件代碼,補習班中文名稱,補習班中文住址,電話,立案日期,立案文號,教室數,教室面積,班舍總面積
424,8006,何嘉仁文教事業股份有限公司附設臺北市私立嘉嘉文理短期補習班,111士林區文林路338之1號1樓,(02)2883-7050,2020/12/18,北市教終字第1093104923號,2,47.69,123.76
425,8005,臺北市私立林瀚語文文理技藝短期補習班,110信義區忠孝東路5段17號2樓之1,(02)2749-5866,2020/12/17,北市教終字第1093109361號,3,39.03,88.36
426,8004,贏熊家有限公司附設臺北市私立種子成樹文理美語短期補習班,105松山區民生東路4段80巷7之1號、7之4號,(02)27150071,2020/12/16,北市教終字第1093109210號,4,106.63,175.09
427,8003,臺北市私立新古典音樂文理技藝短期補習班,116文山區景豐街3號1樓,(02)29343681,2020/12/9,北市教終字第1093100075號,5,36.65,87.88
428,8002,臺北市私立十大文理短期補習班,111士林區中山北路7段14巷10號1樓及10之1號1樓,(02)2871-1003,2020/12/9,北市教終字第1093103915號,5,85.95,180.5
429,8001,陸月貳拾知識科技有限公司臺北市私立法文邂逅文理短期補習班,103大同區長安西路45號2樓之2,(02)2555-9413,2020/12/3,北市教終字第1093103621號,3,52.87,137.28
430,8000,臺北市私立諾比文理短期補習班,114內湖區康寧路3段99巷19號1樓,(02)2630-8894,2020/11/27,北市教終字第1093099704號,2,50.77,86.41
431,7999,薪哲文教股份有限公司附設臺北市私立育學文理短期補習班,100中正區許昌街17號7樓之5,(02)2311-3635,2020/11/19,北市教終字第1093096599號,1,142.94,187.21
432,7998,薪哲文教股份有限公司附設臺北市私立興學文理短期補習班,100中正區許昌街17號7樓之3,(02)2311-3635,2020/11/19,北市教終字第1093096598號,1,104.9,162.4
433,7996,薪哲文教股份有限公司附設臺北市私立成學文理短期補習班,100中正區許昌街17號7樓,(02)2311-3635,2020/11/19,北市教終字第1093100072號,1,158.01,187.21
434,7997,薪哲文教股份有限公司附設臺北市私立志學文理短期補習班,100中正區許昌街17號7樓之2,(02)2331-3635,2020/11/19,北市教終字第1093100074號,1,41.49,84.91
435,7994,臺北市私立這球音樂短期補習班南京復興分班,105松山區復興北路191號4樓之2,(02)2546-5008,2020/11/17,北市教終字第1093096472號,5,38.01,79.73
436,7995,台灣知識庫股份有限公司附設臺北市私立洋碩文理短期補習班,100中正區羅斯福路3段272號5樓,(02)5571-3131,2020/11/16,北市教終字第1093100073號,3,111.34,196.19
437,7993,臺北市私立李翰文理短期補習班,106大安區和平東路1段73號2樓之4,02-33225828,2020/11/11,北市教終字第1093089393號,4,56.28,99.66
438,7992,博陞教育顧問股份有限公司附設臺北市私立捷邁文理短期補習班,106大安區信義路4段6號16樓之7、16樓之8,(02)2708-1108,2020/11/10,北市教終字第1093096600號,1,65.63,86.44
439,7991,臺北市私立特格文理短期補習班,106大安區和平東路1段6號7樓之1,(02)2366-0790,2020/11/6,北市教終字第1093099762號,5,58.92,159.76
440,7988,臺北市私立晴晴文理短期補習班,112北投區致遠一路1段54號1樓,(02)2823-9752,2020/11/2,北市教終字第1093095796號,2,31.91,87
441,7989,李奇文教有限公司附設臺北市私立李奇文理短期補習班第一分班,100中正區忠孝西路1段102號2樓之1,(02)2370-6700,2020/11/2,北市教終字第1093089391號,1,140.81,199.32
442,7990,李奇文教有限公司附設臺北市私立李奇文理短期補習班第二分班,100中正區忠孝西路1段102號2樓之2,(02)2370-6700,2020/11/2,北市教終字第1093089392號,1,69.74,71.24
443,7985,柳吟文教事業股份有限公司附設臺北市私立柳吟文理短期補習班大安分班,106大安區信義路3段126號1樓,(02)27088111,2020/10/27,北市教終字第1093089279號,2,43.31,97.18
444,7986,臺北市私立程實文教文理短期補習班,110信義區基隆路2段39巷8弄12號1樓及2樓,(02)2732-0101,2020/10/26,北市教終字第1093089155號,4,58.74,120.74
445,7982,創心文教股份有限公司附設臺北市私立創心文理語文技藝短期補習班,104中山區敬業一路128巷28號3樓,85015700,2020/10/22,北市教終字第1093078923號,5,122.26,199.65
446,7984,菁英國際文教事業股份有限公司附設臺北市私立菁英國際語文文理短期補習班站前二分班,100中正區許昌街17號18樓,(02)2331-5088,2020/10/21,北市教終字第1093092738號,12,455,807.5
447,7983,臺北市私立金蓉老師英文寫作教學文理短期補習班,106大安區羅斯福路3段171號2樓之1,(02)2368-1710,2020/10/21,北市教終字第1093082656號,1,80.43,115.53
448,7981,臺北市私立奇無技藝文理短期補習班,106大安區和平東路2段265巷27之1號1樓,(02)2755-3770,2020/10/16,北市教終字第1093077197號,2,57.65,85.56
449,7978,臺北市私立史丹佛文理短期補習班,111士林區中正路381號2樓及3樓,(02)2881-8203,2020/10/12,北市教終字第11093078419號,4,109.98,194.78
450,7979,陳立教育事業股份有限公司附設臺北市私立陳立文理短期補習班士林乙分班,111士林區文林路342號4樓之1,(02)2880-5767,2020/10/12,北市教終字第1093077619號,2,117.82,130.1
451,7976,臺北市私立水木文理短期補習班,100中正區羅斯福路1段50號3樓,0933-837-872,2020/10/8,北市教終字第1093077484號,2,55.59,101.85
452,7973,青杉人才有限公司附設臺北市私立青杉人才技藝短期補習班,106大安區忠孝東路3段96號11樓之1,(02)66057606,2020/10/6,北市教終字第1093077350號,1,62.09,99.31
453,7975,得勝者文教股份有限公司附設臺北市私立得勝者文教文理短期補習班館前分班,100中正區館前路12號4樓,(02)2314-5818,2020/10/5,北市教終字第1093077343號,3,377.05,621.29
454,7974,臺北市私立全腦精英文理短期補習班,105松山區光復北路230巷2號1樓,(02)2715-2343,2020/10/5,北市教終字第1093077020號,4,48.69,102.6
455,7971,臺北市私立毅果仁愛文理短期補習班,106大安區安和路1段100號2樓,(02)27552123,2020/9/26,北市教終字第1093069900號,4,71.07,132.71
456,7972,銘羿有限公司附設臺北市私立銘羿文理短期補習班,114內湖區陽光街92巷7弄23號1樓,(02)27990890,2020/9/25,北市教終字第1093078592號,3,38.6,101.42
457,7969,臺北市私立語繡美容美髮技藝短期補習班,103大同區南京西路61號6樓,02-25527935,2020/9/23,北市教終字第1093063229號,2,135.3,76.99
458,7970,讀思塾有限公司附設臺北市私立讀思塾文理短期補習班,105松山區南京東路3段338巷5號1樓,(02)2778-7777,2020/9/21,北市教終字第1093077969號,7,70.39,148.04
459,7967,臺北市私立安貝文理技藝短期補習班第三分班,105松山區延壽街330巷8弄2號1樓,(02)2756-6759,2020/9/14,北市教終字第1093078197號,3,43.29,74.08
460,7966,臺北市私立盧卡斯文理短期補習班,111士林區中山北路6段405巷70之1號1樓,(02)2877-1160,2020/9/10,北市教終字第1093063367號,5,48.41,149.29
461,7965,臺北市私立喚動舞蹈技藝短期補習班,100中正區羅斯福路1段86號2樓之1,966170934,2020/9/9,北市教終字第1093069770號,2,125.12,186.15
462,7964,臺北市私立慈愛文理短期補習班,108萬華區柳州街41號1樓,(02)2382-5992 (02)23825995,2020/9/7,北市教終字第1093059782號,3,94.23,275.08
463,7987,思達創旭股份有限公司附設臺北市私立思達數學文理短期補習班,103大同區承德路1段35號2樓之2,(02)25500768,2020/9/4,北市教終字第1093066886號,3,50.46,121.3
464,7963,臺北市私立新月書屋文理短期補習班,116文山區景華街3巷10號1樓,(02)29336108,2020/9/3,北市教終字第1093059743　號,2,35.46,99.25
465,7961,茂榞科技股份有限公司附設臺北市私立以馬內利語文文理短期補習班東湖分班,114內湖區民權東路6段296巷63號、65號1樓,(02)26328111,2020/8/31,北市教終字第1093063127　號,3,40.74,89.35
466,7960,瀚將教育科技股份有限公司附設臺北市私立百瀚南京文理短期補習班,105松山區南京東路5段48號10樓,(02)25287662,2020/8/12,北市教終字第1093056228號,7,91.27,145.7
467,7959,臺北市私立淺語文理技藝短期補習班,100中正區重慶南路2段73號3樓,(02)3322-1521,2020/8/10,北市教終字第1093059055號,5,109.22,145.51
468,7957,社團法人中國青年救國團附設臺北市私立勵名文理技藝短期補習班,100中正區館前路45號9樓,(02)2381-9165,2020/8/6,北市教終字第1093054482號,5,149.52,194.21
469,7956,社團法人中國青年救國團附設臺北市私立勵傑文理技藝短期補習班,100中正區館前路45號8樓,(02)2381-9165,2020/8/6,北市教終字第1093054483號,4,152.07,194.21
470,7958,臺北市私立孩子園文理技藝短期補習班,110信義區莊敬路289巷10號1樓,(02)2758-0526,2020/8/4,北市教終字第1093055942號,2,37.39,86.9
471,7955,魔幻主義有限公司臺北市私立魔法科學文理短期補習班,106大安區羅斯福路3段261號10樓,966136360,2020/7/27,北市教終字第1093047159號,2,92.32,166.64
472,7954,臺北市私立星耀國際文理技藝短期補習班,104中山區民權西路11號2樓之2,(02)25868019,2020/7/27,北市教終字第1093049804號,3,39.32,103.86
473,7944,臺北市私立吳限定律文理短期補習班康寧分班,114內湖區東湖路7巷23號地下1樓、1樓及2樓,(02)26307126,2020/7/21,北市教終字第1093054411號,2,46.26,162.85
474,7953,臺北市私立恩迪文理短期補習班延壽分班,105松山區延壽街314巷2號1樓,(02)27458886,2020/7/15,北市教終字第1093047033號,3,78.09,148.26
475,7951,臺北市私立心覺文理技藝短期補習班,114內湖區康寧路3段72號2樓,(02)26330080,2020/7/10,北市教終字第1093046959號,3,129.06,224.96
476,7952,臺北市私立偉東文理短期補習班,114內湖區內湖路1段629巷45號1樓,(02)2627-9528,2020/7/10,北市教終字第1093047665號,1,34.57,74.29
477,7949,背號一三藝創事業有限公司附設臺北市私立魔法美力教室技藝短期補習班,106大安區復興南路1段133號3樓,(02)2752-7272,2020/7/7,北市教終字第1093043808號,1,115.32,156.49
478,7950,適才文教有限公司附設臺北市私立柳吟文理短期 補習班內湖分班,114內湖區文德路236號2樓,(02)27998066,2020/7/3,北市教終字第1093044023號,5,63.2,121.2
479,7948,何學文教有限公司附設臺北市私立何學文理短期補習班,105松山區敦化北路4巷9號1樓,(02)2711-9333,2020/7/1,北市教終字第1093043837號,2,37.69,102.31
480,7946,社團法人中國青年救國團附設臺北市私立勵文文理技藝短期補習班,100中正區館前路45號7樓,(02)2381-9165,2020/6/17,北市教終字第1093035738號,6,147.1,194.21
481,7945,社團法人中國青年救國團附設臺北市私立勵賢文理技藝短期補習班,100中正區館前路45號5樓,(02)2381-9165,2020/6/17,北市教終字第1093035737號,4,158.53,194.21
482,7937,全景文教股份有限公司附設臺北市私立全景文理短期補習班,106大安區忠孝東路4段132號8樓,(02)87713190,2020/6/15,北市教終字第1093032103號,5,63.63,171.82
483,7943,臺北市私立樂誠文理短期補習班,112北投區中央北路1段68號3樓,(02)2891-4194,2020/6/15,北市教終字第1093035739號,3,37.24,73.84
484,7938,臺北市私立林熙文理短期補習班大安分班,106大安區信義路4段6號15樓之2,(02)27063801,2020/6/3,北市教終字第1093035890號,3,49.5,71.76
485,7942,臺北市私立劍橋哈佛文理短期補習班,112北投區中央北路1段70號1樓及2樓,(02)2898-3300,2020/6/3,北市教終字第1093036335號,5,146.51,236.56
486,7941,臺北市私立善牧文理短期補習班,106大安區新生南路1段161巷4之5號1樓,(02)27034532,2020/6/2,北市教終字第1093036022號,3,51.48,130.03
487,7940,翰勳文教事業股份有限公司附設臺北市私立翰勳文理短期補習班,106大安區信義路4段208號3樓,(02)27072257,2020/6/2,北市教終字第1093031490號,1,36.34,95.69
488,7936,寰睿科創有限公司附設臺北市私立劉璿文理技藝短期補習班,104中山區長春路348之4號3樓,(02)87129658,2020/6/1,北市教終字第1093036020號,2,56.07,126.56
489,7935,安軒文教事業有限公司附設臺北市私立安軒文理短期補習班,114內湖區成功路3段170號2樓,(02)2795-5957,2020/5/27,北市教終字第1093030888號,1,36.17,86.49
490,7934,智慧有光有限公司附設臺北市私立智慧有光文理短期補習班,106大安區安和路1段78巷29號1樓及27號1樓,(02)2755-5007,2020/5/18,北市教終字第1093027457號,13,107.63,178.31
491,7933,臺北市私立老外國際美語文理短期補習班,106大安區復興南路1段137號8樓之1,(02)27110212,2020/5/18,北市教終字第1093031154號,5,50.63,106.62
492,7931,臺北市私立非拉鐵非文理技藝短期補習班,103大同區民權西路144巷5弄3號1樓,(02)2559-3958,2020/5/13,北市教終字第1093027323號,3,53.38,92.81
493,7929,臺北市私立陽光彤樂文理技藝短期補習班,105松山區健康路287號1樓,(02)87870060,2020/4/22,北市教終字第1093018319號,2,78.28,142.56
494,7928,愛程式文教股份有限公司附設臺北市私立愛程式文理技藝短期補習班,106大安區忠孝東路4段333號5樓,(02)2773-9386,2020/4/21,北市教終字第1093024091號,4,77.15,150.82
495,7927,冠登文教有限公司附設臺北市私立冠登語文文理短期補習班,110信義區光復南路417號2樓之6,(02)2758-7633,2020/4/20,北市教終字第1093023980號,2,69.39,119.27
496,7926,臺北市私立禧樂音樂技藝短期補習班,106大安區安居街94號1樓,935908113,2020/4/13,北市教終字第1093011102號,4,30.69,73.92
497,7925,臺北市私立樂樂學文理短期補習班,111士林區天玉街38巷2號2樓,(02)28725572,2020/4/13,北市教終字第1093023831號,3,49.08,123.62
498,7924,臺北市私立睿思文理短期補習班,106大安區信義路2段74號3樓,(02)2393-5599,2020/4/6,北市教終字第1093011743號,5,102.42,197.46
499,7923,臺北市私立樂進文理短期補習班,104中山區復興北路430巷38號1樓,(02)2592-1184,2020/3/30,北市教終字第1093011210號,3,60.91,114.32
500,7922,臺北市私立捷聲文理短期補習班,104中山區明水路397巷2弄8號1樓,(02)25325582,2020/3/24,北市教終字第1093010744號,4,69.59,117.74
501,7921,臺北市私立關芯文理短期補習班,105松山區敦化北路143號2樓,(02)87705850,2020/3/20,北市教終字第1093010313號,4,60.64,131.38
502,7920,臺北市私立微舒喜技藝文理短期補習班,100中正區臨沂街50之4號1樓,933454851,2020/3/17,北市教終字第1093010312號,1,38.42,70
503,7919,臺北市私立有月技藝短期補習班,106大安區辛亥路1段82號5樓,0956-550-559,2020/3/9,北市教終字第1093007528號,4,64.25,104.23
504,7918,高明一對一學習有限公司附設臺北市私立高明一對一文理短期補習班萬芳分班,116文山區興隆路3段138號2樓,(02)22300020,2020/3/9,北市教終字第1093007296號,3,34.52,79.14
505,7917,臺北市私立樂學樂斈文理技藝短期補習班,106大安區和平東路1段87-1號5樓,0971-775-617,2020/3/6,北市教終字第1093006942號,3,57.95,124.24
506,7913,有一天股份有限公司附設臺北市私立有一天文理短期補習班,106大安區忠孝東路4段231號9樓之1,(02)7709-5331,2020/2/15,北市教終字第1093001290號,3,57.88,141.58
507,7912,臺北市私立品文藝文理短期補習班,106大安區辛亥路1段30號3樓之1,(02)3365-2280,2020/2/15,北市教終字第1093003755號,2,56.8,115.48
508,7911,極合教育科技股份有限公司附設臺北市私立極上一對一古亭文理短期補習班,100中正區羅斯福路2段136號1樓,(02)2365-5996,2020/2/10,北市教終字第1093001661號,3,48.39,76.99
509,7909,臺北市私立名昇文理短期補習班,105松山區延壽街121號1樓,(02)87878904,2020/2/4,北市教終字第1093001207號,2,51.36,87.86
510,7904,群華教育股份有限公司附設臺北市私立準星個別指導天母校一館文理技藝短期補習班,111士林區忠誠路2段140巷10號1樓,(02)28771186,2020/1/22,北市教終字第1083112902,2,34.84,99.92
511,7908,築科文教事業有限公司附設臺北市私立築科機器人文理技藝短期補習班,111士林區中山北路6段171號2樓,(02)88666001,2020/1/17,北市教終字第1093000494號,3,48.2,125.62
512,7907,臺北市私立德士特文理短期補習班奇岩分班,112北投區公舘路251號1樓,(02)2895-6577,2020/1/16,北市教終字第1093000397號,3,34.54,103.02
513,7906,臺北市私立靜偉文理短期補習班,111士林區承德路4段12巷44號1樓,(02)2885-9739,2020/1/16,北市教終字第1083112718號,5,54.13,94.68
514,7905,臺北市私立心元數文理短期補習班,111士林區承德路4段12巷19號1樓,28858085,2020/1/16,北市教終字第1083112719號,4,62.37,102.6
515,7903,臺北市私立劉萱文理短期補習班,105松山區三民路72之1號1樓,988595875,2020/1/13,北市教終字第1083112591號,3,48.55,84.74
516,7902,臺北市私立新生代文理技藝短期補習班內江分班,108萬華區內江街51號2樓之1、2樓之2,(02)2388-6010,2020/1/10,北市教終字第1083112724號,5,58.87,106.8
517,7901,臺北市私立全宥文理短期補習班內湖分班,114內湖區內湖路2段54之4號1樓,(02)87972858,2019/12/27,北市教終字第1083110074號,3,49.18,75.09
518,7899,臺北市私立林奈文理短期補習班,114內湖區成功路4段61巷20號2樓,933833052,2019/12/24,北市教終字第1083106033號,1,61.04,88.16
519,7898,臺北市私立非常菁英文理短期補習班,114內湖區成功路4段52號4樓,(02)27968960,2019/12/19,北市教終字第1083105632號,4,60.05,106.59
520,7897,臺北市私立耕福文理短期補習班,115南港區東新街126號1樓,(02)2788-0296,2019/12/17,北市教終字第1083105478號,3,42.81,72.74
521,7896,宏偉文教有限公司附設臺北市私立宏韋文理短期補習班,110信義區永吉路119號1樓,(02)2749-1286,2019/12/16,北市教終字第1083103620號,1,39.27,88.8
522,7895,臺北市私立卡樂藝術空間技藝文理短期補習班,116文山區興隆路2段224之1號1樓及地下1樓,(02)29307666,2019/12/11,北市教終字第1083103612號,3,76.96,119.46
523,7894,臺北市私立鼎太文理短期補習班,111士林區大南路360號1樓,(02)28818936,2019/12/11,北市教終字第1083103613號,3,50.99,111.26
524,7893,臺北市私立吉事達大安文理短期補習班,106大安區敦化南路2段172巷5弄4號1樓,0912-912-208,2019/12/5,北市教終字第1083100884號,3,58.11,115.28
525,7892,臺北市私立優輔文理短期補習班,111士林區天母西路15號2樓,(02)28721298,2019/12/4,北市教終字第1083102992號,5,73.32,126.55
526,7891,社團法人中國青年救國團附設臺北市私立天勤舞蹈瑜珈技藝短期補習班,111士林區中山北路7段18號5樓之3,28755085,2019/12/3,北市教終字第1083102914號,2,146.14,195.81
527,7889,臺北市私立吳限定律文理短期補習班東湖分班,114內湖區康樂街136巷3弄2號之1,(02)26308929,2019/11/26,北市教終字第1083100171號,4,35.25,73.32
528,7885,臺北市私立孩子國文理技藝短期補習班,110信義區基隆路2段79巷1弄1號1樓,(02)87321313,2019/11/26,北市教終字第1083100159號,2,42.96,72.72
529,7888,中國青年救國團附設臺北市私立勵輝文理技藝短期補習班,100中正區館前路45號4樓,(02)2381-9165,2019/11/26,北市教終字第1083099988號,2,159.57,194.21
530,7887,何嘉仁文教事業股份有限公司附設臺北市私立多元學習文理短期補習班,112北投區磺港路8號6樓、8之1號6樓,(02)2891-8422,2019/11/25,北市教終字第1083100029號,5,109.45,227.45
531,7877,臺北市私立樂加文理短期補習班,112北投區致遠二路73號2樓,(02)2823-4114,2019/11/1,北市教終字第1083087895號,5,95.78,186.15
532,7884,臺北市私立藝起窩創意美學技藝文理短期補習班,112北投區致遠一路2段76號1樓,(02)2821-2318,2019/11/20,北市教終字第1083098143號,3,52.3,81.21
533,7880,臺北市私立立行文理短期補習班靜心分班,116文山區興隆路2段91號1樓、2樓及地下1樓,(02)29310925,2019/11/15,北市教終字第1083093287號,4,58.14,135.78
534,7881,臺北市私立昂大一對一古亭文理短期補習班,106大安區羅斯福路2段49號3樓,(02)2395-6101,2019/11/8,北市教終字第1083093617號,5,71.55,164.44
535,7883,臺北市私立安貝文理技藝短期補習班第二分班,105松山區延壽街330巷18之1號1樓,(02)27566759,2019/11/7,北市教終字第1083097264號,3,46.76,73.44
536,7878,石玉國際文化教育有限公司附設臺北市私立石玉文理短期補習班西松分班,105松山區南京東路5段202號2樓之4,(02)27662898,2019/11/4,北市教終字第1083093402號,3,60.43,115.02
537,7879,臺北市私立文采智慧文理短期補習班,111士林區文林路760號2樓(1層、2層),972598746,2019/11/4,北市教終字第1083093183號,2,48.23,99.12
538,7876,臺北市私立尚文文理短期補習班,100中正區忠孝東路2段80號9樓之1,(02)2321-4111,2019/10/31,北市教終字第1083089883號,3,65.91,115.9
539,7875,新貴語文顧問有限公司附設臺北市私立新貴語文文理短期補習班,104中山區南京東路3段200號4樓之1,87727172,2019/10/29,北市教終字第1083087990號,4,87.11,126.62
540,7874,臺北市私立萊恩菲爾生活美語文創互動園地文理短期補習班,116文山區忠順街1段41巷6號1樓,286612298,2019/10/21,北市教終字第1083079781號,2,48.85,91.76
541,7870,臺北市私立道思內湖技藝文理短期補習班,114內湖區行善路233號1樓、2樓、245號1樓、2樓,(02)87918203,2019/10/14,北市教終字第1083079665號,5,168.26,311.15
542,7871,臺北市私立凱宇文理短期補習班大直分班,104中山區明水路431號,(02)25332553,2019/10/14,北市教終字第1083079666號,3,56.01,119.72
543,7869,臺北市私立薇仁文理短期補習班,105松山區延壽街326號,(02)27455668,2019/10/14,北市教終字第1083079272號,3,47.22,78.28
544,7868,臺北市私立沐光繪畫技藝短期補習班,103大同區承德路2段47號3樓,(02)25560006,2019/10/8,北市教終字第1083077514號,1,93.19,117
545,7867,智勝教育顧問有限公司附設臺北市私立大師國際文理短期補習班,111士林區天母東路6之4號4樓,0955068027 / 0922135135 / 0909098836,2019/10/7,北市教終字第1083079591號,3,73.98,135.35
546,7866,臺北市私立王道一對一文理短期補習班,116文山區興隆路3段327號1樓,(02)22396738,2019/10/3,北市教終字第1083077506號,3,33.5,72.85
547,7865,萬華樣股份有限公司附設臺北市私立邱子文理短期補習班短期補習班,108萬華區西園路2段192號1樓,(02)2308-3114,2019/10/1,北市教終字第1083078124號,2,47.16,101.03
548,7864,臺北市私立文群文理短期補習班,112北投區清江路194號1樓,(02)2895-1269,2019/9/27,北市教終字第1083077971號,1,60.69,82.79
549,7855,臺北市私立赫爾巴德創新文理技藝短期補習班,116文山區興隆路2段61巷5號及7號,(02)29310099,2019/9/27,北市教終字第1083079089號,2,45.25,95.61
550,7863,臺北市私立梧月文理短期補習班,111士林區忠誠路2段52號2樓,(02)28330122,2019/9/26,北市教終字第1083078125號,4,68.56,115.34
551,7862,臺北市私立樂耕文理短期補習班,116文山區木新路2段161巷19弄9號1樓,(02)29397979,2019/9/24,北市教終字第1083081675號,4,51.95,118.97
552,7861,臺北市私立敦南鈴木音樂技藝短期補習班,106大安區仁愛路4段77號8樓之2,(02)8771-5454,2019/9/20,北市教終字第1083081464號,4,58.51,106.01
553,7860,臺北市私立飛行種子英文短期補習班,104中山區復興北路92號4樓,(02)27505780,2019/9/19,北市教終字第1083077183號,3,40.01,80.4
554,7850,臺北市私立信義誠真文理短期補習班,100中正區信義路2段209號4樓,(02)2396-6629,2019/8/22,北市教終字第1083063028號,4,66.38,109.4
555,7859,艾克文教事業有限公司附設臺北市私立仁愛艾克文理短期補習班,106大安區忠孝東路4段320號2樓之1,(02)2771-3655,2019/9/10,北市教終字第1083074457號,5,55.82,126.23
556,7858,臺北市私立非常悟理文理短期補習班,106大安區辛亥路1段62號1樓及82號1樓,(02)2365-9467,2019/9/6,北市教終字第1083074515號,5,87.18,180.01
557,7857,石玉國際文化教育有限公司附設臺北市私立石玉文理短期補習班,105松山區南京東路5段202號2樓之5,(02)27662898,2019/9/5,北市教終字第1083072471號,2,54.91,115.02
558,7856,概思文化有限公司附設臺北市私立歐博文理短期補習班大安分班,106大安區新生南路3段24號(1樓)及24之1號(2樓),(02)23625575,2019/8/29,北市教終字第1083074419號,4,73.65,148.92
559,7854,臺北市私立大直文理短期補習班,104中山區北安路657號2樓之3,(02)85091710,2019/8/28,北市教終字第1083074022號,5,125.01,195.5
560,7853,臺北市私立北安文理短期補習班,104中山區北安路659號1樓,(02)85091710,2019/8/28,北市教終字第1083074021號,4,89.99,163.5
561,7852,臺北市私立弘明文理短期補習班,111士林區天母西路13巷9之2號1樓,(02)28747176,2019/8/27,北市教終字第1083072601號,4,60.41,99
562,7851,人幼國際有限公司附設臺北市私立人幼文理技藝短期補習班,104中山區民權東路2段148號2樓,(02)25030373,2019/8/23,北市教終字第1083072474號,4,63.65,151.66
563,7849,辰孺文教興業有限公司附設臺北市私立辰孺文教興業文理短期補習班,106大安區忠孝東路4段333號3樓之1,(02)7730-9561,2019/8/20,北市教終字第1083063336號,7,83.69,185.43
564,7848,舞育文創有限公司附設臺北市私立舞動世界忠孝技藝短期補習班,110信義區忠孝東路5段17號2樓,(02)27652368,2019/8/19,北市教終字第1083072087號,1,54.47,112.6
565,7846,臺北市私立禾碩文理短期補習班,108萬華區萬大路71巷16號1樓,(02)2308-6553,2019/8/16,北市教終字第1083064059號,1,59.07,80.88
566,7845,臺北市私立全宥文理短期補習班南港分班,115南港區惠民街1號（1樓及夾層）、3號（1樓及夾層）,(02)2783-6095,2019/8/16,北市教終字第1083063835號,6,88.72,167.5
567,7847,臺北市私立湖畔語文文理短期補習班東湖分班,114內湖區康樂街20巷41號1樓,(02)26336800,2019/8/16,北市教終字第1083063861號,4,53.64,99.62
568,7844,臺北市私立芮秋英文文理短期補習班,110信義區基隆路1段29號1樓,(02)2767-9725,2019/8/8,北市教終字第1083063159號,4,49.49,127.28
569,7843,臺北市私立說好語言文理短期補習班,106大安區復興南路2段82號8樓之3,(02)2700-2168,2019/8/6,北市教終字第1083062951號,6,58.04,104.76
570,7842,臺北市私立祥赫文理短期補習班,103大同區延平北路2段223號2樓,(02)25534159,2019/8/6,北市教終字第1083062813號,1,60.63,76.64
571,7841,臺北市私立乖乖國際文理短期補習班,106大安區敦化南路1段252巷11號1樓,0936-156-886,2019/8/5,北市教終字第1083063004號,6,125.69,192.06
572,7840,高明一對一學習有限公司附設臺北市私立高明一對一文理短期補習班古亭分班,100中正區羅斯福路2段44號6樓,(02)2393-0123,2019/8/2,北市教終字第1083063164號,7,58.44,123.39
573,7839,臺北市私立思騰文理短期補習班和平分班,106大安區臥龍街60巷7號1樓,(02)25311827,2019/8/1,北市教終字第1083062626號,3,33.48,99.28
574,7838,臺北市私立思睿文理短期補習班,100中正區羅斯福路2段70號5樓之1,(02)3393-3633,2019/7/24,北市教終字第1083060956號,3,73.15,114.67
575,7836,臺北巿私立蒙特梭利文理技藝短期補習班,105松山區光復北路177巷30號1樓,(02)27600720,2019/7/16,北市教終字第1083056236號,2,101.42,156.05
576,7835,臺北市私立頂赫文理短期補習班,100中正區銅山街7之1號1樓,(02)2341-5433,2019/7/2,北市教終字第1083055640號,1,64.76,85.31
577,7834,臺北市私立寶英文理短期補習班,104中山區北安路458巷29號1樓,(02)85097811,2019/6/17,北市教終字第1083047677號,2,38.28,86.51
578,7833,臺北市私立鑫升文理短期補習班晉陞分班,104中山區復興北路150號7樓之3,(02)27196333,2019/6/13,北市教終字第1083047531號,4,135.53,184.3
579,7832,劉氏文教事業股份有限公司附設臺北市私立劉氏民權東作文文理技藝短期補習班,114內湖區民權東路6段117號2樓及2樓之1,(02)27906885,2019/6/12,北市教終字第1083039318號,4,52.03,133.13
580,7831,臺北市私立杜艾喬文理短期補習班,103大同區承德路2段46號3樓之1,(02)25585681,2019/6/6,北市教終字第1083046901號,3,53.32,84.02
581,7830,臺北市私立建宏文理短期補習班信義分班,106大安區信義路4段189號6樓,(02)2703-9798,2019/6/3,北市教終字第1083047019號,2,72.22,153.35
582,7829,臺北市私立艾思特文理短期補習班北車分班,100中正區忠孝東路1段35號3樓,(02)3393-8872,2019/5/28,北市教終字第1083039067號,3,114.83,194.75
583,7828,臺北市私立我們家日本語文理短期補習班,105松山區民生東路4段80巷3弄4號1樓,(02)27150307,2019/5/24,北市教終字第1083030588號,3,59.08,88.43
584,7826,臺北市私立必勝家族文理短期補習班,116文山區恆光街22巷19號1樓,(02)2939-2613,2019/5/20,北市教終字第1083030669號,3,32.91,105.7
585,7827,臺北市私立艾美英語文理短期補習班安和分班,106大安區安和路1段63號1樓,(02)2700-0896,2019/5/17,北市教終字第1083030647號,5,76.08,144.09
586,7824,日學館留學中心有限公司附設臺北市私立繁田塾語文文理技藝短期補習班館前分班,100中正區館前路43號11樓,(02)23880555,2019/5/7,北市教終字第1083029676號,2,81.35,142.37
587,7822,歐拉西語教育事業有限公司附設臺北市私立伊斯帕尼亞西語文化文理短期補習班,106大安區忠孝東路4段155號6樓之3,02-2711 6855,2019/5/2,北市教終字第1083041701號,3,49.15,81.49
