課程名稱,開課起始日期,開課結束日期,地點,電話,人數,授課老師
皮雕工作坊A班(週一),2025-01-06,2025-12-31,臺北市內湖區碧湖社區發展協會,(02)87926024,28,郭桂鑾
皮雕工作坊B班(週一),2025-01-06,2025-12-31,臺北市內湖區碧湖社區發展協會,(02)87926024,28,郭桂鑾
相揪來運動二(週四),2025-12-11,2025-12-31,臺北市內湖區碧湖社區發展協會,(02)87926024,25,姜竹燕團隊
預防及延緩失能(週四)第二期,2025-06-12,2025-09-04,臺北市內湖區碧湖社區發展協會,(02)87926024,25,姜竹燕
預防及延緩失能(週四)第三期,2025-09-11,2025-12-04,臺北市內湖區碧湖社區發展協會,(02)87926024,25,莊惠茹
氣功,2025-01-06,2025-12-30,臺北市內湖區石潭社區發展協會,(02)27937177,15,中華生物能醫學氣功教練群
經絡伸展,2025-01-02,2025-12-30,臺北市內湖區石潭社區發展協會,(02)27937177,15,林秀鳳、代課老師鄭敏華
運動與舞蹈,2025-01-08,2025-12-31,臺北市內湖區石潭社區發展協會,(02)27937177,15,協會志工
運動與身體,2025-01-02,2025-12-30,臺北市內湖區石潭社區發展協會,(02)27937177,15,協會理監事
大橋多元樂活學堂,2025-01-01,2025-12-31,財團法人臺北市松年長春社會福利基金會(大橋),(02)25974784,40,林進祥、陳月勉、解雅麗等多元講師群
大橋多元樂活學堂(含三期延緩失能模組),2025-01-01,2025-12-31,財團法人臺北市松年長春社會福利基金會(大橋),(02)25974784,40,林進祥、陳月勉、解雅麗等多元講師群
銀髮樂活健康操班,2025-09-01,2025-12-15,財團法人台北市建成基督長老教會,(02)25580685,35,蕭郁文
多元手工藝班,2025-09-04,2025-12-18,財團法人台北市建成基督長老教會,(02)25580685,35,銀髮貴人團隊老師
活力動踹,2025-02-03,2025-12-29,財團法人一粒麥子社會福利慈善事業基金會,(02)23320669,30,據點工作人員及楊曜榕老師
手工藝課程,2025-02-03,2025-12-29,財團法人一粒麥子社會福利慈善事業基金會,(02)23320669,30,劉銀花
多元繪畫,2025-02-04,2025-12-30,財團法人一粒麥子社會福利慈善事業基金會,(02)23320669,30,據點工作人員
動動健康班,2025-02-06,2025-12-25,財團法人一粒麥子社會福利慈善事業基金會,(02)23320669,30,據點工作人員及錢志杰老師
綜合藝術,2025-02-07,2025-12-26,財團法人一粒麥子社會福利慈善事業基金會,(02)23320669,30,據點工作人員及王沛寶老師
肌勤律動 1,2025-02-05,2025-12-31,財團法人一粒麥子社會福利慈善事業基金會,(02)23320669,30,游育帆
活力體適能健康舞,2025-03-06,2025-12-25,財團法人一粒麥子社會福利慈善事業基金會,(02)23320669,30,施玉娟
玩肌勁骨,2025-06-03,2025-12-30,財團法人一粒麥子社會福利慈善事業基金會,(02)23320669,30,陳彥廷
日語教學-N2,2025-01-08,2025-12-31,臺北市大同區隆和里辦公處,0922-799261,50,潘東正
肌力運動課程及健康系列講座,2025-01-02,2025-12-25,臺北市大同區隆和里辦公處,0922-799261,50,梁瑋琪
書法研習,2025-02-11,2025-12-30,臺北市大同區隆和里辦公處,0922-799261,50,鄭秀琴
預防及延緩失能計畫課程,2025-02-11,2025-12-30,臺北市大同區隆和里辦公處,0922-799261,50,郭芳敏
銀齡歌曲啟發藝術創作班,2025-01-01,2025-12-31,臺北市大同區真善美社區發展協會,0910-123767,20,蔡江秀玉
書法,2025-01-06,2025-12-29,臺北市大同區玉泉里辦公處,0979-305833,15,鄭秀琴
健康知能.營養講座及肌力運動,2025-09-05,2025-12-26,臺北市大同區玉泉里辦公處,0979-305833,25,梁依蝶 梁絲云
日文課程,2025-01-01,2025-12-31,臺北市大同區永樂里辦公處,0930-087087,14,潘東正
舒筋樂活,2025-01-14,2025-09-16,臺北市大同區柴寮仔社區發展協會,0932-844756,12,施士敏
智慧手機長青班,2025-01-07,2025-12-30,臺北市大同區柴寮仔社區發展協會,0932-844756,12,杜元
預防及延緩失能(三),2025-09-23,2025-12-09,臺北市大同區柴寮仔社區發展協會,0932-844756,12,施士敏
中醫與生活應用,2025-10-09,2025-12-25,臺北市大同區柴寮仔社區發展協會,0932-844756,12,陳美麗
舒筋樂活,2025-12-16,2025-12-30,臺北市大同區柴寮仔社區發展協會,0932-844756,12,施士敏
舒筋樂活,2025-08-07,2025-10-02,臺北市大同區柴寮仔社區發展協會,0932-844756,12,施士敏
熱舞,2025-01-15,2025-12-31,臺北市大同區星明社區發展協會,(02)25562463,20,施玉娟
原始樂齡瑜伽,2025-01-15,2025-12-31,臺北市大同區星明社區發展協會,(02)25562463,20,葉郁吟、施玉娟(代)、郭璟瑱
穴道按摩氣功班,2025-01-01,2025-12-31,臺北市大同區慶安社區發展協會,0931-101838,25,莊鎂妝
健康講座（每月第二週上課）,2025-01-01,2025-12-31,臺北市大同區慶安社區發展協會,0931-101838,25,中興醫院醫師、營養師
長春英語班（秋季）,2025-09-02,2025-12-16,臺北市大同區慶安社區發展協會,0931-101838,25,陳玨如
大龍樂齡學苑（秋季）,2025-09-01,2025-11-30,臺北市大同區慶安社區發展協會,0931-101838,25,YWCA安排的個別課程專業老師
健康知能課程,2025-03-01,2025-08-31,臺北市大同區延平里辦公處,(02)25528918,10,黃于珊、王春燕
藝術手作課程,2025-03-01,2025-08-31,臺北市大同區延平里辦公處,(02)25528918,10,廖淑純、李玉雲、潘惠珠
健康促進運動與穴道按摩,2025-01-01,2025-12-31,臺北市大同區大有里辦公處,(02)25577229,20,賴建仁
歌唱班,2025-01-01,2025-12-31,臺北市大同區大有里辦公處,(02)25577229,20,黃丞芯、崔慧萍
書法課,2025-01-15,2025-12-31,臺北市大同區大有里辦公處,(02)25577229,20,鄭秀琴
知識分享暨保健常識,2025-01-01,2025-12-31,臺北市大同區大有里辦公處,(02)25577229,20,許麗芬護理師
健康站,2025-01-01,2025-12-31,臺北市大同區圓環社區發展協會,(02)25564651,30,馬偕社區醫療團隊和志工
手機下,2025-09-01,2025-12-31,臺北市大同區圓環社區發展協會,(02)25564651,27,梁瑛芬
多元教學四,2025-07-01,2025-08-31,臺北市大同區圓環社區發展協會,(02)25564651,20,專業老師
多元教學五,2025-07-01,2025-08-30,臺北市大同區圓環社區發展協會,(02)25564651,20,專業老師
運動下,2025-07-01,2025-12-31,臺北市大同區圓環社區發展協會,(02)25564651,25,志工
運動(延緩失能)下,2025-07-01,2025-12-31,臺北市大同區圓環社區發展協會,(02)25564651,25,吳雯心
樂齡讀書班,2025-01-06,2025-12-29,財團法人臺安基金會(基督復臨安息日會松山教會),(02)27716823,15,張文山、楊雅雯
手機應用,2025-07-01,2025-09-30,財團法人臺安基金會(基督復臨安息日會松山教會),(02)27716823,30,周文秀
初級日文課(2),2025-10-07,2025-12-23,財團法人臺安基金會(基督復臨安息日會松山教會),(02)27716823,20,鄭文慧
長者樂活班(4-12月),2025-04-08,2025-12-23,財團法人臺安基金會(基督復臨安息日會松山教會),(02)27716823,15,張文山、孫嘉禾
繩梯運動(4-12月),2025-04-08,2025-12-23,財團法人臺安基金會(基督復臨安息日會松山教會),(02)27716823,25,翁崇瑞
彈力帶運動(4-12月),2025-04-09,2025-12-24,財團法人臺安基金會(基督復臨安息日會松山教會),(02)27716823,25,翁崇瑞
預防及延緩失能,2025-07-17,2025-10-02,財團法人臺安基金會(基督復臨安息日會松山教會),(02)27716823,20,施宏諭
老當益壯,2025-10-09,2025-12-25,財團法人臺安基金會(基督復臨安息日會松山教會),(02)27716823,20,施宏諭
核心肌群運動(4-12月),2025-04-10,2025-12-25,財團法人臺安基金會(基督復臨安息日會松山教會),(02)27716823,20,翁崇瑞
奏笛樂動滋,2025-10-13,2025-12-29,財團法人弘道老人福利基金會(松山),(02)66131314,25,陳彥智
體適能-肌力up,2025-07-02,2025-09-24,財團法人弘道老人福利基金會(松山),(02)66131314,25,林佩萱
禪繞畫,2025-07-04,2025-12-26,財團法人弘道老人福利基金會(松山),(02)66131314,25,關令嫻
預防及延緩失能,2025-07-10,2025-09-25,財團法人弘道老人福利基金會(松山),(02)66131314,25,遊淑雯
易經與生活,2025-09-17,2025-11-26,財團法人台灣省私立健順養護中心(松山老人服務暨日間照顧中心),(02)27685636,45,
經絡敲拍課程,2025-03-05,2025-11-26,財團法人台灣省私立健順養護中心(松山老人服務暨日間照顧中心),(02)27685636,20,
活力律動微健促,2025-09-18,2025-11-27,財團法人台灣省私立健順養護中心(松山老人服務暨日間照顧中心),(02)27685636,30,
坐式太極拳,2025-03-04,2025-12-16,財團法人台北市私立永年社會福利慈善基金會,(02)25786677,20,洪美華
預防及延緩失能方案--全能活力健身操課程,2025-03-01,2025-12-31,財團法人台北市民生社區基督教會,(02)27679500,20,甘鴻英
全人活力班,2025-03-01,2025-12-31,財團法人台北市民生社區基督教會,(02)27679500,20,李崑安
預防及延緩失能,2025-03-13,2025-11-27,財團法人台北市民生社區基督教會,(02)27679500,20,林芳兒
預防延緩失能照護,2025-07-01,2025-09-16,財團法人中華基督教衛理公會恩友堂,(02)27670760,40,曾念邦
預防延緩失能照護,2025-09-23,2025-12-09,財團法人中華基督教衛理公會恩友堂,(02)27670760,40,戴章樺
體適能核心運動,2025-12-16,2025-12-16,財團法人中華基督教衛理公會恩友堂,(02)27670760,30,曾念邦
週五上午自由重量阻力訓練班,2025-01-03,2025-12-30,臺北市體適能指導工作人員職業工會,(02)28913812,15,簡佑庭、葉童等
週五下午運動營養班,2025-01-03,2025-12-30,臺北市體適能指導工作人員職業工會,(02)28913812,15,簡佑庭、葉童等
週二下午阻力訓練燃脂班,2025-01-02,2025-12-31,臺北市體適能指導工作人員職業工會,(02)28913812,15,簡佑庭、葉童等
週三下午阻力訓練燃脂班,2025-01-02,2025-12-31,臺北市體適能指導工作人員職業工會,(02)28913812,15,簡佑庭、葉童等
週四下午阻力訓練燃脂班,2025-01-02,2025-12-31,臺北市體適能指導工作人員職業工會,(02)28913812,15,簡佑庭、葉童等
書畫賞析,2025-03-03,2025-12-29,臺北市松山區松榮社區發展協會,(02)27676931,20,高陞發
手作課,2025-03-05,2025-12-31,臺北市松山區松榮社區發展協會,(02)27676931,20,鄭綺玟
捏塑課,2025-03-04,2025-12-30,臺北市松山區松榮社區發展協會,(02)27676931,20,鍾秀玉
資安守護、健康生活,2025-01-01,2025-12-31,臺北市松山區松基里辦公處,(02)27160515,40,鄭鴻達
伸展樂活,2025-01-01,2025-12-31,臺北市松山區松基里辦公處,(02)27160515,40,鄭鴻達
樂齡瑜珈,2025-01-01,2025-12-31,臺北市松山區松基里辦公處,(02)27160515,40,胡亞宜
銀髮毛巾操,2025-01-01,2025-12-31,臺北市松山區松基里辦公處,(02)27160515,40,吳益發
樂齡養生易筋經,2025-01-01,2025-12-31,臺北市松山區松基里辦公處,(02)27160515,30,莊雪櫻
醫療保健課程,2025-01-08,2025-12-31,臺北市松山區東勢里辦公處,(02)27170369,40,松山醫院師資群
拉筋樂活班,2025-01-08,2025-12-31,臺北市松山區東勢里辦公處,(02)27170369,25,吳茂維
樂活烹飪班,2025-01-07,2025-12-30,臺北市松山區東勢里辦公處,(02)27170369,15,烹飪班師資
肌力訓練班,2025-01-03,2025-12-26,臺北市松山區東勢里辦公處,(02)27170369,20,盛建瑛團隊
樂齡歡唱班(B),2025-04-01,2025-12-26,臺北市松山區東勢里辦公處,(02)27170369,15,王叔珍
健康保健課,2025-04-01,2025-12-31,臺北市松山區東勢里辦公處,(02)27170369,20,松山醫院師資群、社區藥局講師、松山健康服務中心
拉筋課及健康活動課程,2025-01-07,2025-12-31,臺北市松山區新聚里辦公處,(02)27685997,30,鄭有策
八極保健養生,2025-01-02,2025-12-31,臺北市松山區新聚里辦公處,(02)27685997,30,陳家緯
社交舞課程,2025-01-02,2025-12-31,臺北市松山區新聚里辦公處,(02)27685997,30,薛寶霖
多元互動課程,2025-03-05,2025-11-26,臺北市松山區新東社區發展協會,(02)27664552,35,何麗文、李秀敏等其他師資
運動保健,2025-01-07,2025-12-30,臺北市松山區慈祐里辦公處,0988-587216,25,林祐宏
預防及延緩失能,2025-08-06,2025-10-22,臺北市松山區慈祐里辦公處,0988-587216,30,江灝
長者運動與體適能,2025-01-08,2025-12-31,臺北市松山區復盛里辦公處,(02)25286727,25,莊惠茹、曾滿翊、徐琇薇、林美玉
紙黏土多媒材創作(二),2025-07-01,2025-09-30,財團法人伊甸社會福利基金會,(02)25702560,20,胡瑞娟
預防及延緩失能,2025-07-01,2025-09-16,財團法人伊甸社會福利基金會,(02)25702560,20,李明潔
園藝舒活體驗,2025-07-02,2025-09-24,財團法人伊甸社會福利基金會,(02)25702560,20,劉穎
伸展紓壓(二),2025-07-02,2025-09-24,財團法人伊甸社會福利基金會,(02)25702560,20,甯瑜馨
鉤針小物創作,2025-07-07,2025-09-29,財團法人伊甸社會福利基金會,(02)25702560,20,陳宛伶
伸展紓壓(三),2025-10-01,2025-12-24,財團法人伊甸社會福利基金會,(02)25702560,20,甯瑜馨
手機應用(二),2025-10-01,2025-12-24,財團法人伊甸社會福利基金會,(02)25702560,20,專業師資群
DIY巧手編織,2025-10-07,2025-12-23,財團法人伊甸社會福利基金會,(02)25702560,20,劉穎
預防及延緩失能,2025-09-23,2025-12-09,財團法人伊甸社會福利基金會,(02)25702560,20,李明潔
色鉛筆的光影世界,2025-10-13,2025-12-22,財團法人伊甸社會福利基金會,(02)25702560,20,沈欣樺
高年級體育課,2025-12-16,2025-12-23,財團法人伊甸社會福利基金會,(02)25702560,20,李明潔
經絡打氣養生操,2025-01-02,2025-12-25,財團法人環宇國際文化教育基金會(萬華),(02)23098844,20,陳垂艷
水彩課,2025-01-02,2025-12-25,財團法人環宇國際文化教育基金會(萬華),(02)23098844,20,吳季樺
預防及延緩失能課程,2025-09-02,2025-11-18,財團法人環宇國際文化教育基金會(萬華),(02)23098844,20,呂宏達
樂齡肌肉強化運動,2025-12-02,2025-12-30,財團法人環宇國際文化教育基金會(萬華),(02)23098844,20,呂宏達
綜合藝術,2025-06-04,2025-09-24,財團法人環宇國際文化教育基金會(萬華),(02)23098844,20,王沛寶
多元智能課程,2025-06-04,2025-12-31,財團法人環宇國際文化教育基金會(萬華),(02)23098844,20,陳慈容
復健運動,2025-11-25,2025-11-25,財團法人環宇國際文化教育基金會(萬華),(02)23098844,20,呂宏達
繪畫綜合班,2025-01-06,2025-12-29,財團法人天主教聖母聖心會,(02)23028934,35,專業志工
禪繞畫,2025-09-23,2025-10-28,財團法人天主教聖母聖心會,(02)23028934,30,周思敏
手作課程環保藝術美勞,2025-07-03,2025-11-27,財團法人天主教聖母聖心會,(02)23028934,30,林爰君
體適能運動工坊-西園,2025-12-04,2025-12-25,財團法人天主教聖母聖心會,(02)23028934,30,專業教練
銀髮族彈力帶肌力核心訓練,2025-07-11,2025-09-26,財團法人天主教聖母聖心會,(02)23028934,30,邱敏媛
「肌」不可失，掌聲「骨」勵,2025-02-10,2025-12-22,財團法人采苑藝術文教基金會,(02)23018400,15,田玉笛
「樂齡．Fun．爵士」輕舞蹈,2025-02-11,2025-12-23,財團法人采苑藝術文教基金會,(02)23018400,20,蘇詩堅
樂活藝術創作快樂班,2025-01-07,2025-12-23,財團法人臺北市松年長春社會福利基金會(中正),(02)23948486,30,張君肅、外聘講師
樂齡分享歡樂班,2025-03-05,2025-09-24,財團法人臺北市松年長春社會福利基金會(中正),(02)23948486,30,簡學舜、外聘講師
品味人生分享班,2025-01-02,2025-12-25,財團法人臺北市松年長春社會福利基金會(中正),(02)23948486,15,蘇明信、外聘講員
預防及延緩失能,2025-09-08,2025-12-01,財團法人耕莘文教基金會,(02)23655615,20,鄭智宏
墨韻山水,2025-09-01,2025-12-31,財團法人耕莘文教基金會,(02)23655615,25,陳建彰
聽說英文超EASY,2025-09-01,2025-12-31,財團法人耕莘文教基金會,(02)23655615,25,魏彩密
成人的美術課,2025-09-01,2025-12-31,財團法人耕莘文教基金會,(02)23655615,25,謝淑真、吳虹儒
歡喜讀書會(9-12月),2025-09-01,2025-12-31,財團法人伽耶山基金會,(02)23946800,20,陳月逢
樂活爺奶班(9-12月),2025-09-01,2025-12-31,財團法人伽耶山基金會,(02)23946800,30,蘇玫君
養生太極拳(9-12月),2025-09-01,2025-12-31,財團法人伽耶山基金會,(02)23946800,20,李淑錦
智能氣功(9-12月),2025-09-02,2025-12-30,財團法人伽耶山基金會,(02)23946800,30,講師群
預防及延緩失能課程(第二期),2025-09-11,2025-11-27,財團法人伽耶山基金會,(02)23946800,20,菲特邦師資群
達摩易筋經氣功,2025-01-02,2025-12-31,財團法人福智慈善基金會（安和據點）,(02)27015861,15,廖悅佑
太極養生氣功,2025-01-02,2025-12-31,財團法人福智慈善基金會（安和據點）,(02)27015861,16,范綱銓
樂活運動班B,2025-07-04,2025-12-31,財團法人福智慈善基金會（安和據點）,(02)27015861,15,游國輝
生活美學班B,2025-01-02,2025-12-31,財團法人福智慈善基金會（安和據點）,(02)27015861,15,陳雪花
預防及延緩失能,2025-03-03,2025-11-09,財團法人成長文教基金會,(02)27000657,20,林業展
老當益壯、抗衰防跌運動,2025-11-10,2025-12-31,財團法人成長文教基金會,(02)27000657,20,林業展
簡易創意烘焙,2025-01-02,2025-12-31,財團法人成長文教基金會,(02)27000657,20,林素雲
穴道氣功養生,2025-01-02,2025-12-31,財團法人成長文教基金會,(02)27000657,20,孫麗翠、彭熙罃
創意飾品動手作,2025-01-02,2025-08-31,財團法人成長文教基金會,(02)27000657,20,陳貴糖
書法A班,2025-01-01,2025-12-31,財團法人台灣基督長老教會大安教會,(02)27064477,15,施雅麗
藝文教育A,2025-01-01,2025-12-31,財團法人台灣基督長老教會大安教會,(02)27064477,12,森晴菜
生活新知A,2025-01-01,2025-12-31,財團法人台灣基督長老教會大安教會,(02)27064477,15,歐麗慧
書法B班,2025-01-01,2025-12-31,財團法人台灣基督長老教會大安教會,(02)27064477,15,施雅麗
藝文教育B,2025-01-01,2025-12-31,財團法人台灣基督長老教會大安教會,(02)27064477,12,森晴菜
生活新知B,2025-01-01,2025-12-31,財團法人台灣基督長老教會大安教會,(02)27064477,15,歐麗慧
健腦強身,2025-01-01,2025-12-31,財團法人台灣基督長老教會大安教會,(02)27064477,20,傅佳琳
舒活健康動一動,2025-01-01,2025-12-31,財團法人臺北醫學大學展齡中心(信義),(02)27365986,20,陶宇安等師資
世界真奇妙,2025-01-01,2025-12-31,財團法人臺北醫學大學展齡中心(信義),(02)27365986,20,張哲嘉、朱修儁、陳桂慧等師資
有氧健康動一動,2025-01-01,2025-12-31,財團法人臺北醫學大學展齡中心(信義),(02)27365986,20,劉冠吟等師資
手造奇蹟放開心,2025-01-01,2025-12-31,財團法人臺北醫學大學展齡中心(信義),(02)27365986,20,據點人員
樂齡健康運動站,2025-01-01,2025-12-31,財團法人臺北醫學大學展齡中心(信義),(02)27365986,10,李明潔、王瑜筠、黃紋佩、王婕等師資
動齡訓練班,2025-11-24,2025-12-31,財團法人臺北醫學大學展齡中心(信義),(02)27365986,20,范慧萩、余聖方、蔡招春等師資
彩繪生活插畫班,2025-02-07,2025-12-26,財團法人台北市基督教全人福利事業基金會(吳興教會),(02)27589796,25,吳秀琳
樂齡紓壓拉筋班,2025-02-05,2025-12-24,財團法人台北市基督教全人福利事業基金會(吳興教會),(02)27589796,30,鄭鴻達
預防及延緩失能,2025-08-06,2025-10-22,財團法人台北市基督教全人福利事業基金會(吳興教會),(02)27589796,25,陳雲英
健康樂活班,2025-01-01,2025-12-31,財團法人台北市中華基督教信義會(復興堂),(02)27200440,25,陳麗嬌
智慧型手機生活應用班,2025-01-01,2025-12-31,財團法人台北市中華基督教信義會(復興堂),(02)27200440,25,林夢竹
19-享壽健康,2025-07-08,2025-09-23,財團法人台北市中華基督教信義會(復興堂),(02)27200440,15,巫奉約老師團隊
勇骨健康操,2025-01-01,2025-12-31,財團法人臺北市松年長春社會福利基金會(開元),(02)29393480,40,陳慧芬
體適能肌力運動,2025-01-02,2025-12-31,財團法人臺北市松年長春社會福利基金會(開元),(02)29393480,40,
樂齡健康律動班,2025-01-03,2025-12-31,財團法人臺北市松年長春社會福利基金會(開元),(02)29393480,40,盧曼芳
閱讀與討論,2025-01-07,2025-12-31,財團法人臺北市松年長春社會福利基金會(景華),(02)89311230,40,簡雅萍
閩南語班,2025-01-03,2025-12-31,財團法人臺北市松年長春社會福利基金會(景華),(02)89311230,40,李信毅
藝想天開,2025-10-01,2025-12-31,財團法人臺北市松年長春社會福利基金會(景華),(02)89311230,40,蔡秀惠、高明星
預防及延緩失能,2025-07-02,2025-09-24,財團法人臺北市松年長春社會福利基金會(景華),(02)89311230,20,葉玟櫻
銀髮健身樂,2025-01-02,2025-12-25,財團法人臺北市松年長春社會福利基金會(景華),(02)89311230,40,陳家瑞、張木淋
粉彩繪畫,2025-01-07,2025-12-16,財團法人新北市私立天道總會社會福利慈善事業基金會,(02)29354168,10,簡朵優
響板敲敲趣,2025-01-07,2025-12-16,財團法人新北市私立天道總會社會福利慈善事業基金會,(02)29354168,10,汪雪玲
健康自己來,2025-01-06,2025-12-15,財團法人新北市私立天道總會社會福利慈善事業基金會,(02)29354168,10,洪瑞儒
百歲小學堂,2025-01-08,2025-12-31,財團法人弘道老人福利基金會,0979-810136,25,鄭柏祿
禪繞畫,2025-01-02,2025-12-25,財團法人弘道老人福利基金會,0979-810136,25,關令嫻
延緩失能益智桌遊實證應用方案,2025-07-02,2025-12-31,財團法人弘道老人福利基金會,0979-810136,25,游淑雯
體適能,2025-07-22,2025-12-30,財團法人弘道老人福利基金會,0979-810136,25,柯葳
營養夠夠GO,2025-06-26,2025-12-25,財團法人弘道老人福利基金會,0979-810136,25,蘇湘雯
草本養身保健,2025-07-07,2025-09-29,財團法人弘道老人福利基金會,0979-810136,25,梁絲云
呼吸系統保健,2025-10-06,2025-12-29,財團法人弘道老人福利基金會,0979-810136,25,曹振祥
好友藝思(有氧體適能+樂活手作),2025-01-01,2025-12-31,財團法人台灣基督傳道會復生教會,(02)27822075,30,江雅慧、洪淑娟、項欣儀、張其嵩、楊希瑛、戴千智、李淑君、林以恩、王寶銀
舞文弄墨血路通,2025-01-01,2025-12-31,財團法人台灣基督傳道會復生教會,(02)27822075,30,游道明、張建文、戴千智、李政祥、黃金富
元氣幸福補給站,2025-01-01,2025-12-31,財團法人台灣基督傳道會復生教會,(02)27822075,30,張其嵩、陳尊德、湯孟宗、張建文、魏益群、鄭信盛、林楷鈞、林際唐、洪中夫、鍾信仁、吳淑玫、李姿怡、徐文俊、黃誼班、莊逸宏、潘華庭
西點蛋糕手工餅製作,2025-01-01,2025-12-31,財團法人台灣基督傳道會復生教會,(02)27822075,30,張信慧、野澤清香、黃慧玲、張惠美
